"Reference","Qty","Value","MPN","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","MFG 2 PN","Voltage"
"TP1,TP2,TP3,TP4","4","TestPoint_2Pole","","DNP","","","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","~","",""
"U7","1","Teensy4.0","Teensy4.0","","","","Teensy:Teensy40","","",""
"R65,R74","2","10k","CRCW080510K0FKEA","","","","Resistor_SMD:R_0805_2012Metric","~","",""
"R57,R58,R59,R60","4","2.2K","RC0805FR-072K2L","","","","Resistor_SMD:R_0805_2012Metric","~","CRCW08052K20JNEA",""
"R56,R61,R62,R63,R64","5","51","RC0805FR-0751RL","","","","Resistor_SMD:R_0805_2012Metric","~","RC0805JR-0751RL",""
"R35,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55","11","0","","DNP","","","Resistor_SMD:R_0805_2012Metric","~","CRCW08050000Z0EA",""
"R32,R33","2","47k","RC0805FR-0747KL","","","","Resistor_SMD:R_0805_2012Metric","~","",""
"R28,R29","2","1.5k","RC0805FR-071K5L","","","","Resistor_SMD:R_0805_2012Metric","~","",""
"R26,R27","2","4.99k","RG2012P-4991-B-T5","","","","Resistor_SMD:R_0805_2012Metric","~","",""
"R23,R25","2","715","RC0805FR-07715RL","","","","Resistor_SMD:R_0805_2012Metric","~","",""
"R22,R24","2","2.32k","RMCF0805FT2K32","","","","Resistor_SMD:R_0805_2012Metric","~","",""
"R20,R21","2","1.33k","ERA-6AEB1331V","","","","Resistor_SMD:R_0805_2012Metric","~","",""
"R18,R19","2","4.42k","ERA-6AEB4421V","","","","Resistor_SMD:R_0805_2012Metric","~","",""
"R12,R30,R31,R34,R36,R37","6","100","CRCW0805100RFKEA","","","","Resistor_SMD:R_0805_2012Metric","~","",""
"R11,R14,R15,R17,R67,R69,R76,R78","8","1k","ERA-6AEB102V","","","","Resistor_SMD:R_0805_2012Metric","~","TNPW08051K00BEEA",""
"R10","1","5","RC0805FR-074R7L","","","","Resistor_SMD:R_0805_2012Metric","~","",""
"R8,R9","2","500","RMCF0805JT510R","","","","Resistor_SMD:R_0805_2012Metric","~","TNPW08051K00BEEA",""
"R6,R13,R70,R71,R79,R80","6","34","CRCW080534R0FKEA","","","","Resistor_SMD:R_0805_2012Metric","~","8-1625868-5,CRCW080510R0JNEA",""
"R5","1","1M","","","","","Resistor_SMD:R_0805_2012Metric","~","",""
"R3,R7,R16","3","39k","ERA-6AEB3922V","","","","Resistor_SMD:R_0805_2012Metric","~","",""
