time;user0;user1;
0.0300012;0.000136031;-0.00105356;
0.0300112;0.0013935;-0.00931681;
0.0300212;0.00264541;-0.0175425;
0.0300312;0.00388683;-0.0256979;
0.0300412;0.00511286;-0.0337507;
0.0300512;0.00631865;-0.0416688;
0.0300612;0.00749945;-0.0494209;
0.0300712;0.0086506;-0.0569763;
0.0300812;0.00976756;-0.064305;
0.0300912;0.0108459;-0.0713782;
0.0301012;0.0118814;-0.0781679;
0.0301112;0.01287;-0.0846474;
0.0301212;0.0138077;-0.0907913;
0.0301312;0.0146908;-0.0965754;
0.0301412;0.015516;-0.101977;
0.0301512;0.0162798;-0.106975;
0.0301612;0.0169793;-0.111551;
0.0301712;0.0176118;-0.115685;
0.0301812;0.0181747;-0.119363;
0.0301912;0.0186659;-0.122569;
0.0302012;0.0190833;-0.125293;
0.0302112;0.0194253;-0.127522;
0.0302212;0.0196907;-0.129248;
0.0302312;0.0198783;-0.130465;
0.0302412;0.0199873;-0.131169;
0.0302512;0.0200175;-0.131355;
0.0302612;0.0199685;-0.131025;
0.0302712;0.0198408;-0.130178;
0.0302812;0.0196346;-0.128818;
0.0302912;0.019351;-0.126951;
0.0303012;0.0189909;-0.124584;
0.0303112;0.0185558;-0.121725;
0.0303212;0.0180474;-0.118387;
0.0303312;0.0174677;-0.114581;
0.0303412;0.0168191;-0.110324;
0.0303512;0.016104;-0.10563;
0.0303612;0.0153253;-0.100519;
0.0303712;0.0144861;-0.0950106;
0.0303812;0.0135897;-0.0891262;
0.0303912;0.0126396;-0.082889;
0.0304012;0.0116395;-0.0763235;
0.0304112;0.0105935;-0.0694554;
0.0304212;0.00950557;-0.0623119;
0.0304312;0.0083801;-0.0549211;
0.0304412;0.0072215;-0.0473123;
0.0304512;0.00603436;-0.0395155;
0.0304612;0.00482335;-0.0315618;
0.0304712;0.00359325;-0.0234826;
0.0304812;0.00234892;-0.01531;
0.0304912;0.00109527;-0.00707659;
0.0305012;-0.000162757;0.00118499;
0.0305112;-0.00142019;0.00944188;
0.0305212;-0.00267207;0.0176612;
0.0305312;-0.00391346;0.0258104;
0.0305412;-0.00513945;0.033857;
0.0305512;-0.00634521;0.041769;
0.0305612;-0.00752598;0.0495152;
0.0305712;-0.00867709;0.0570647;
0.0305812;-0.00979402;0.0643879;
0.0305912;-0.0108723;0.0714556;
0.0306012;-0.0119078;0.0782401;
0.0306112;-0.0128963;0.0847146;
0.0306212;-0.013834;0.0908537;
0.0306312;-0.0147171;0.0966334;
0.0306412;-0.0155422;0.102031;
0.0306512;-0.016306;0.107025;
0.0306612;-0.0170055;0.111597;
0.0306712;-0.017638;0.115728;
0.0306812;-0.0182009;0.119403;
0.0306912;-0.018692;0.122607;
0.0307012;-0.0191094;0.125328;
0.0307112;-0.0194514;0.127555;
0.0307212;-0.0197167;0.12928;
0.0307312;-0.0199042;0.130497;
0.0307412;-0.0200133;0.131199;
0.0307512;-0.0200434;0.131386;
0.0307612;-0.0199944;0.131055;
0.0307712;-0.0198666;0.130209;
0.0307812;-0.0196604;0.12885;
0.0307912;-0.0193767;0.126985;
0.0308012;-0.0190166;0.124619;
0.0308112;-0.0185815;0.121762;
0.0308212;-0.0180731;0.118426;
0.0308312;-0.0174934;0.114623;
0.0308412;-0.0168447;0.110369;
0.0308512;-0.0161296;0.105678;
0.0308612;-0.0153509;0.100571;
0.0308712;-0.0145116;0.0950665;
0.0308812;-0.0136152;0.0891862;
0.0308912;-0.012665;0.0829534;
0.0309012;-0.0116649;0.0763925;
0.0309112;-0.0106189;0.0695292;
0.0309212;-0.00953092;0.0623906;
0.0309312;-0.00840542;0.0550049;
0.0309412;-0.0072468;0.0474013;
0.0309512;-0.00605962;0.0396099;
0.0309612;-0.00484858;0.0316616;
0.0309712;-0.00361845;0.023588;
0.0309812;-0.00237409;0.015421;
0.0309912;-0.0011204;0.00719312;
0.0310012;0.000137652;-0.00106288;
0.0310112;0.00139512;-0.0093142;
0.0310212;0.00264703;-0.017528;
0.0310312;0.00388845;-0.0256717;
0.0310412;0.00511447;-0.0337129;
0.0310512;0.00632026;-0.0416197;
0.0310612;0.00750106;-0.0493607;
0.0310712;0.00865221;-0.0569053;
0.0310812;0.00976916;-0.0642236;
0.0310912;0.0108475;-0.0712867;
0.0311012;0.011883;-0.0780667;
0.0311112;0.0128716;-0.084537;
0.0311212;0.0138093;-0.0906722;
0.0311312;0.0146924;-0.0964481;
0.0311412;0.0155176;-0.101842;
0.0311512;0.0162814;-0.106833;
0.0311612;0.0169809;-0.111402;
0.0311712;0.0176134;-0.115531;
0.0311812;0.0181763;-0.119203;
0.0311912;0.0186675;-0.122406;
0.0312012;0.0190849;-0.125125;
0.0312112;0.0194269;-0.127351;
0.0312212;0.0196923;-0.129075;
0.0312312;0.0198798;-0.130291;
0.0312412;0.0199889;-0.130993;
0.0312512;0.020019;-0.13118;
0.0312612;0.0199701;-0.13085;
0.0312712;0.0198423;-0.130005;
0.0312812;0.0196362;-0.128647;
0.0312912;0.0193525;-0.126783;
0.0313012;0.0189924;-0.124419;
0.0313112;0.0185573;-0.121565;
0.0313212;0.018049;-0.118232;
0.0313312;0.0174693;-0.114432;
0.0313412;0.0168207;-0.11018;
0.0313512;0.0161056;-0.105493;
0.0313612;0.0153269;-0.10039;
0.0313712;0.0144877;-0.0948892;
0.0313812;0.0135912;-0.0890132;
0.0313912;0.0126411;-0.0827849;
0.0314012;0.0116411;-0.0762286;
0.0314112;0.010595;-0.0693702;
0.0314212;0.0095071;-0.0622367;
0.0314312;0.00838163;-0.0548562;
0.0314412;0.00722304;-0.0472579;
0.0314512;0.00603589;-0.0394719;
0.0314612;0.00482488;-0.0315292;
0.0314712;0.00359478;-0.0234611;
0.0314812;0.00235045;-0.0152997;
0.0314912;0.00109679;-0.00707751;
0.0315012;-0.000161233;0.00117283;
0.0315112;-0.00141867;0.00941849;
0.0315212;-0.00267055;0.0176267;
0.0315312;-0.00391194;0.0257648;
0.0315412;-0.00513793;0.0338005;
0.0315512;-0.00634369;0.0417019;
0.0315612;-0.00752446;0.0494377;
0.0315712;-0.00867558;0.0569771;
0.0315812;-0.00979251;0.0642904;
0.0315912;-0.0108708;0.0713486;
0.0316012;-0.0119063;0.078124;
0.0316112;-0.0128948;0.0845899;
0.0316212;-0.0138325;0.0907208;
0.0316312;-0.0147156;0.0964928;
0.0316412;-0.0155407;0.101883;
0.0316512;-0.0163045;0.106871;
0.0316612;-0.017004;0.111437;
0.0316712;-0.0176365;0.115562;
0.0316812;-0.0181994;0.119232;
0.0316912;-0.0186905;0.122432;
0.0317012;-0.0191079;0.12515;
0.0317112;-0.0194499;0.127374;
0.0317212;-0.0197152;0.129097;
0.0317312;-0.0199027;0.130312;
0.0317412;-0.0200118;0.131014;
0.0317512;-0.0200419;0.1312;
0.0317612;-0.0199929;0.13087;
0.0317712;-0.0198651;0.130026;
0.0317812;-0.019659;0.128669;
0.0317912;-0.0193753;0.126806;
0.0318012;-0.0190151;0.124444;
0.0318112;-0.01858;0.121591;
0.0318212;-0.0180716;0.11826;
0.0318312;-0.0174919;0.114462;
0.0318412;-0.0168433;0.110213;
0.0318512;-0.0161282;0.10553;
0.0318612;-0.0153494;0.100429;
0.0318712;-0.0145102;0.0949321;
0.0318812;-0.0136137;0.0890598;
0.0318912;-0.0126636;0.0828354;
0.0319012;-0.0116635;0.0762832;
0.0319112;-0.0106174;0.069429;
0.0319212;-0.00952948;0.0622999;
0.0319312;-0.00840398;0.0549239;
0.0319412;-0.00724536;0.0473303;
0.0319512;-0.00605818;0.0395491;
0.0319612;-0.00484714;0.0316112;
0.0319712;-0.00361701;0.023548;
0.0319812;-0.00237265;0.0153916;
0.0319912;-0.00111897;0.00717433;
0.0320012;0.000139081;-0.00107104;
0.0320112;0.00139654;-0.00931176;
0.0320212;0.00264845;-0.0175151;
0.0320312;0.00388987;-0.0256483;
0.0320412;0.00511589;-0.0336793;
0.0320512;0.00632168;-0.041576;
0.0320612;0.00750248;-0.0493071;
0.0320712;0.00865363;-0.0568421;
0.0320812;0.00977058;-0.0641511;
0.0320912;0.0108489;-0.0712053;
0.0321012;0.0118844;-0.0779767;
0.0321112;0.012873;-0.0844388;
0.0321212;0.0138107;-0.0905662;
0.0321312;0.0146938;-0.0963349;
0.0321412;0.015519;-0.101722;
0.0321512;0.0162828;-0.106707;
0.0321612;0.0169823;-0.11127;
0.0321712;0.0176148;-0.115394;
0.0321812;0.0181777;-0.119062;
0.0321912;0.0186689;-0.12226;
0.0322012;0.0190863;-0.124976;
0.0322112;0.0194283;-0.127199;
0.0322212;0.0196937;-0.128922;
0.0322312;0.0198812;-0.130136;
0.0322412;0.0199903;-0.130838;
0.0322512;0.0200204;-0.131024;
0.0322612;0.0199715;-0.130695;
0.0322712;0.0198437;-0.129851;
0.0322812;0.0196376;-0.128495;
0.0322912;0.0193539;-0.126634;
0.0323012;0.0189938;-0.124273;
0.0323112;0.0185587;-0.121423;
0.0323212;0.0180503;-0.118094;
0.0323312;0.0174707;-0.114299;
0.0323412;0.016822;-0.110053;
0.0323512;0.0161069;-0.105372;
0.0323612;0.0153283;-0.100275;
0.0323712;0.014489;-0.0947813;
0.0323812;0.0135926;-0.0889128;
0.0323912;0.0126425;-0.0826923;
0.0324012;0.0116424;-0.0761443;
0.0324112;0.0105964;-0.0692944;
0.0324212;0.00950846;-0.0621698;
0.0324312;0.00838299;-0.0547984;
0.0324412;0.00722439;-0.0472095;
0.0324512;0.00603724;-0.0394331;
0.0324612;0.00482623;-0.0315001;
0.0324712;0.00359613;-0.0234418;
0.0324812;0.00235179;-0.0152904;
0.0324912;0.00109814;-0.00707822;
0.0325012;-0.000159889;0.00116213;
0.0325112;-0.00141733;0.00939783;
0.0325212;-0.00266921;0.0175961;
0.0325312;-0.0039106;0.0257245;
0.0325412;-0.00513659;0.0337505;
0.0325512;-0.00634236;0.0416425;
0.0325612;-0.00752313;0.0493689;
0.0325712;-0.00867425;0.0568993;
0.0325812;-0.00979118;0.0642039;
0.0325912;-0.0108695;0.0712538;
0.0326012;-0.011905;0.0780211;
0.0326112;-0.0128935;0.0844793;
0.0326212;-0.0138312;0.090603;
0.0326312;-0.0147143;0.0963681;
0.0326412;-0.0155394;0.101752;
0.0326512;-0.0163032;0.106734;
0.0326612;-0.0170027;0.111294;
0.0326712;-0.0176352;0.115415;
0.0326812;-0.0181981;0.119081;
0.0326912;-0.0186892;0.122277;
0.0327012;-0.0191066;0.124992;
0.0327112;-0.0194486;0.127214;
0.0327212;-0.0197139;0.128935;
0.0327312;-0.0199014;0.130148;
0.0327412;-0.0200105;0.13085;
0.0327512;-0.0200406;0.131036;
0.0327612;-0.0199916;0.130707;
0.0327712;-0.0198638;0.129863;
0.0327812;-0.0196577;0.128508;
0.0327912;-0.019374;0.126648;
0.0328012;-0.0190139;0.124288;
0.0328112;-0.0185787;0.12144;
0.0328212;-0.0180703;0.118112;
0.0328312;-0.0174906;0.11432;
0.0328412;-0.016842;0.110076;
0.0328512;-0.0161269;0.105398;
0.0328612;-0.0153482;0.100303;
0.0328712;-0.0145089;0.094813;
0.0328812;-0.0136124;0.0889478;
0.0328912;-0.0126623;0.0827307;
0.0329012;-0.0116622;0.0761863;
0.0329112;-0.0106161;0.0693402;
0.0329212;-0.0095282;0.0622194;
0.0329312;-0.00840271;0.0548521;
0.0329412;-0.00724409;0.0472674;
0.0329512;-0.00605691;0.0394952;
0.0329612;-0.00484587;0.0315665;
0.0329712;-0.00361575;0.0235126;
0.0329812;-0.00237139;0.0153655;
0.0329912;-0.00111771;0.00715773;
0.0330012;0.000140343;-0.0010782;
0.0330112;0.0013978;-0.00930952;
0.0330212;0.00264971;-0.0175035;
0.0330312;0.00389113;-0.0256275;
0.0330412;0.00511715;-0.0336493;
0.0330512;0.00632293;-0.0415371;
0.0330612;0.00750373;-0.0492595;
0.0330712;0.00865488;-0.056786;
0.0330812;0.00977183;-0.0640867;
0.0330912;0.0108502;-0.0711329;
0.0331012;0.0118857;-0.0778968;
0.0331112;0.0128742;-0.0843516;
0.0331212;0.0138119;-0.0904721;
0.0331312;0.0146951;-0.0962343;
0.0331412;0.0155202;-0.101616;
0.0331512;0.016284;-0.106595;
0.0331612;0.0169836;-0.111153;
0.0331712;0.017616;-0.115272;
0.0331812;0.018179;-0.118936;
0.0331912;0.0186701;-0.122131;
0.0332012;0.0190875;-0.124844;
0.0332112;0.0194295;-0.127065;
0.0332212;0.0196949;-0.128785;
0.0332312;0.0198824;-0.129998;
0.0332412;0.0199915;-0.130699;
0.0332512;0.0200216;-0.130886;
0.0332612;0.0199727;-0.130557;
0.0332712;0.0198449;-0.129714;
0.0332812;0.0196388;-0.12836;
0.0332912;0.0193551;-0.126501;
0.0333012;0.018995;-0.124143;
0.0333112;0.0185599;-0.121296;
0.0333212;0.0180515;-0.117971;
0.0333312;0.0174719;-0.114181;
0.0333412;0.0168232;-0.109939;
0.0333512;0.0161082;-0.105264;
0.0333612;0.0153295;-0.100173;
0.0333712;0.0144902;-0.0946855;
0.0333812;0.0135938;-0.0888236;
0.0333912;0.0126437;-0.0826101;
0.0334012;0.0116436;-0.0760693;
0.0334112;0.0105976;-0.0692271;
0.0334212;0.00950966;-0.0621103;
0.0334312;0.00838418;-0.0547471;
0.0334412;0.00722559;-0.0471665;
0.0334512;0.00603844;-0.0393986;
0.0334612;0.00482742;-0.0314742;
0.0334712;0.00359732;-0.0234247;
0.0334812;0.00235298;-0.0152821;
0.0334912;0.00109933;-0.00707876;
0.0335012;-0.000158704;0.00115272;
0.0335112;-0.00141614;0.00937958;
0.0335212;-0.00266803;0.0175691;
0.0335312;-0.00390942;0.0256888;
0.0335412;-0.00513542;0.0337063;
0.0335512;-0.00634118;0.0415898;
0.0335612;-0.00752195;0.049308;
0.0335712;-0.00867308;0.0568305;
0.0335812;-0.00979001;0.0641273;
0.0335912;-0.0108683;0.0711697;
0.0336012;-0.0119038;0.0779299;
0.0336112;-0.0128923;0.0843813;
0.0336212;-0.01383;0.0904985;
0.0336312;-0.0147131;0.0962575;
0.0336412;-0.0155382;0.101636;
0.0336512;-0.0163021;0.106613;
0.0336612;-0.0170016;0.111168;
0.0336712;-0.017634;0.115285;
0.0336812;-0.0181969;0.118947;
0.0336912;-0.018688;0.12214;
0.0337012;-0.0191054;0.124851;
0.0337112;-0.0194474;0.127071;
0.0337212;-0.0197127;0.128791;
0.0337312;-0.0199003;0.130003;
0.0337412;-0.0200093;0.130704;
0.0337512;-0.0200394;0.13089;
0.0337612;-0.0199905;0.130561;
0.0337712;-0.0198627;0.129719;
0.0337812;-0.0196565;0.128366;
0.0337912;-0.0193728;0.126507;
0.0338012;-0.0190127;0.124151;
0.0338112;-0.0185776;0.121305;
0.0338212;-0.0180692;0.117982;
0.0338312;-0.0174895;0.114193;
0.0338412;-0.0168408;0.109954;
0.0338512;-0.0161257;0.105281;
0.0338612;-0.015347;0.100192;
0.0338712;-0.0145078;0.0947074;
0.0338812;-0.0136113;0.0888484;
0.0338912;-0.0126612;0.0826379;
0.0339012;-0.0116611;0.0761004;
0.0339112;-0.010615;0.0692615;
0.0339212;-0.00952708;0.0621482;
0.0339312;-0.00840158;0.0547885;
0.0339412;-0.00724296;0.0472116;
0.0339512;-0.00605579;0.0394475;
0.0339612;-0.00484476;0.0315269;
0.0339712;-0.00361463;0.0234813;
0.0339812;-0.00237027;0.0153425;
0.0339912;-0.0011166;0.00714309;
0.0340012;0.000141456;-0.00108447;
0.0340112;0.00139892;-0.00930745;
0.0340212;0.00265082;-0.0174931;
0.0340312;0.00389223;-0.0256089;
0.0340412;0.00511825;-0.0336227;
0.0340512;0.00632404;-0.0415025;
0.0340612;0.00750483;-0.0492172;
0.0340712;0.00865598;-0.0567361;
0.0340812;0.00977293;-0.0640295;
0.0340912;0.0108513;-0.0710687;
0.0341012;0.0118868;-0.0778258;
0.0341112;0.0128753;-0.0842742;
0.0341212;0.013813;-0.0903886;
0.0341312;0.0146962;-0.0961451;
0.0341412;0.0155213;-0.101521;
0.0341512;0.0162851;-0.106495;
0.0341612;0.0169847;-0.111049;
0.0341712;0.0176171;-0.115164;
0.0341812;0.01818;-0.118824;
0.0341912;0.0186712;-0.122016;
0.0342012;0.0190886;-0.124726;
0.0342112;0.0194306;-0.126945;
0.0342212;0.019696;-0.128664;
0.0342312;0.0198835;-0.129876;
0.0342412;0.0199926;-0.130577;
0.0342512;0.0200227;-0.130763;
0.0342612;0.0199738;-0.130435;
0.0342712;0.019846;-0.129593;
0.0342812;0.0196399;-0.128241;
0.0342912;0.0193562;-0.126383;
0.0343012;0.0189961;-0.124028;
0.0343112;0.018561;-0.121184;
0.0343212;0.0180526;-0.117862;
0.0343312;0.017473;-0.114076;
0.0343412;0.0168243;-0.109839;
0.0343512;0.0161092;-0.105168;
0.0343612;0.0153305;-0.100082;
0.0343712;0.0144913;-0.0946005;
0.0343812;0.0135949;-0.0887444;
0.0343912;0.0126447;-0.0825371;
0.0344012;0.0116447;-0.0760028;
0.0344112;0.0105986;-0.0691673;
0.0344212;0.00951072;-0.0620575;
0.0344312;0.00838524;-0.0547015;
0.0344412;0.00722664;-0.0471283;
0.0344512;0.00603949;-0.039368;
0.0344612;0.00482847;-0.0314512;
0.0344712;0.00359837;-0.0234095;
0.0344812;0.00235403;-0.0152747;
0.0344912;0.00110037;-0.00707917;
0.0345012;-0.000157657;0.00114444;
0.0345112;-0.0014151;0.00936347;
0.0345212;-0.00266698;0.0175452;
0.0345312;-0.00390838;0.0256572;
0.0345412;-0.00513437;0.0336671;
0.0345512;-0.00634014;0.0415431;
0.0345612;-0.00752092;0.0492541;
0.0345712;-0.00867204;0.0567695;
0.0345812;-0.00978897;0.0640594;
0.0345912;-0.0108673;0.0710952;
0.0346012;-0.0119028;0.0778491;
0.0346112;-0.0128913;0.0842944;
