time;user0;user1;
0.100005;0.000664112;-0.00131282;
0.100015;0.00191989;-0.00377557;
0.100025;0.00316809;-0.00622342;
0.100035;0.00440379;-0.00864671;
0.100045;0.00562211;-0.0110359;
0.100055;0.00681824;-0.0133815;
0.100065;0.00798747;-0.0156742;
0.100075;0.00912517;-0.0179052;
0.100085;0.0102269;-0.0200654;
0.100095;0.0112882;-0.0221464;
0.100105;0.012305;-0.0241401;
0.100115;0.0132732;-0.0260384;
0.100125;0.014189;-0.027834;
0.100135;0.0150488;-0.0295198;
0.100145;0.0158493;-0.031089;
0.100155;0.0165872;-0.0325355;
0.100165;0.0172596;-0.0338536;
0.100175;0.0178639;-0.0350382;
0.100185;0.0183977;-0.0360844;
0.100195;0.0188589;-0.0369883;
0.100205;0.0192457;-0.0377462;
0.100215;0.0195565;-0.0383551;
0.100225;0.0197902;-0.0388127;
0.100235;0.0199457;-0.0391171;
0.100245;0.0200226;-0.0392671;
0.100255;0.0200204;-0.0392622;
0.100265;0.0199392;-0.0391024;
0.100275;0.0197793;-0.0387882;
0.100285;0.0195413;-0.038321;
0.100295;0.0192262;-0.0377026;
0.100305;0.0188353;-0.0369353;
0.100315;0.01837;-0.0360223;
0.100325;0.0178322;-0.0349672;
0.100335;0.017224;-0.0337741;
0.100345;0.0165479;-0.0324477;
0.100355;0.0158065;-0.0309932;
0.100365;0.0150026;-0.0294164;
0.100375;0.0141396;-0.0277235;
0.100385;0.0132208;-0.0259212;
0.100395;0.0122498;-0.0240166;
0.100405;0.0112304;-0.0220172;
0.100415;0.0101667;-0.0199308;
0.100425;0.00906292;-0.0177659;
0.100435;0.00792335;-0.0155308;
0.100445;0.00675251;-0.0132344;
0.100455;0.00555502;-0.0108857;
0.100465;0.00433561;-0.00849414;
0.100475;0.00309909;-0.00606902;
0.100485;0.00185034;-0.00361993;
0.100495;0.000594283;-0.00115657;
0.100505;-0.000664117;0.00131137;
0.100515;-0.0019199;0.00377412;
0.100525;-0.0031681;0.00622197;
0.100535;-0.0044038;0.00864525;
0.100545;-0.00562212;0.0110344;
0.100555;-0.00681825;0.01338;
0.100565;-0.00798747;0.0156728;
0.100575;-0.00912517;0.0179037;
0.100585;-0.0102269;0.0200639;
0.100595;-0.0112882;0.022145;
0.100605;-0.012305;0.0241386;
0.100615;-0.0132732;0.026037;
0.100625;-0.014189;0.0278326;
0.100635;-0.0150488;0.0295183;
0.100645;-0.0158493;0.0310875;
0.100655;-0.0165872;0.0325341;
0.100665;-0.0172596;0.0338522;
0.100675;-0.0178639;0.0350367;
0.100685;-0.0183977;0.036083;
0.100695;-0.0188589;0.0369868;
0.100705;-0.0192457;0.0377447;
0.100715;-0.0195566;0.0383536;
0.100725;-0.0197902;0.0388112;
0.100735;-0.0199457;0.0391156;
0.100745;-0.0200226;0.0392657;
0.100755;-0.0200204;0.0392608;
0.100765;-0.0199392;0.0391009;
0.100775;-0.0197793;0.0387868;
0.100785;-0.0195413;0.0383195;
0.100795;-0.0192262;0.0377011;
0.100805;-0.0188353;0.0369339;
0.100815;-0.01837;0.0360209;
0.100825;-0.0178322;0.0349658;
0.100835;-0.017224;0.0337726;
0.100845;-0.0165479;0.0324462;
0.100855;-0.0158065;0.0309917;
0.100865;-0.0150026;0.0294149;
0.100875;-0.0141396;0.027722;
0.100885;-0.0132208;0.0259197;
0.100895;-0.0122498;0.0240151;
0.100905;-0.0112304;0.0220157;
0.100915;-0.0101667;0.0199294;
0.100925;-0.00906292;0.0177644;
0.100935;-0.00792335;0.0155293;
0.100945;-0.00675251;0.0132329;
0.100955;-0.00555503;0.0108843;
0.100965;-0.00433562;0.00849269;
0.100975;-0.00309909;0.00606756;
0.100985;-0.00185034;0.00361848;
0.100995;-0.000594287;0.00115511;
0.101005;0.000664113;-0.00131282;
0.101015;0.00191989;-0.00377557;
0.101025;0.00316809;-0.00622342;
0.101035;0.00440379;-0.00864671;
0.101045;0.00562211;-0.0110359;
0.101055;0.00681824;-0.0133815;
0.101065;0.00798747;-0.0156742;
0.101075;0.00912517;-0.0179052;
0.101085;0.0102269;-0.0200654;
0.101095;0.0112882;-0.0221464;
0.101105;0.012305;-0.0241401;
0.101115;0.0132732;-0.0260384;
0.101125;0.014189;-0.027834;
0.101135;0.0150488;-0.0295198;
0.101145;0.0158493;-0.031089;
0.101155;0.0165872;-0.0325355;
0.101165;0.0172596;-0.0338536;
0.101175;0.0178639;-0.0350382;
0.101185;0.0183977;-0.0360844;
0.101195;0.0188589;-0.0369883;
0.101205;0.0192457;-0.0377462;
0.101215;0.0195565;-0.0383551;
0.101225;0.0197902;-0.0388127;
0.101235;0.0199457;-0.0391171;
0.101245;0.0200226;-0.0392671;
0.101255;0.0200204;-0.0392622;
0.101265;0.0199392;-0.0391024;
0.101275;0.0197793;-0.0387882;
0.101285;0.0195413;-0.038321;
0.101295;0.0192262;-0.0377026;
0.101305;0.0188353;-0.0369353;
0.101315;0.01837;-0.0360223;
0.101325;0.0178322;-0.0349672;
0.101335;0.017224;-0.0337741;
0.101345;0.0165479;-0.0324476;
0.101355;0.0158065;-0.0309932;
0.101365;0.0150026;-0.0294164;
0.101375;0.0141396;-0.0277235;
0.101385;0.0132208;-0.0259212;
