time;V(/OUT_N);V(/OUT_P);V(/OUT_SINGLE);v(/OUT_P)-V(/OUT_N);
0.100003;1.49011;1.47919;2.47531;-0.0109272;
0.100013;1.49332;1.4824;2.49543;-0.0109262;
0.100023;1.49651;1.48559;2.51545;-0.010922;
0.100033;1.49967;1.48876;2.53531;-0.0109146;
0.100043;1.50279;1.49189;2.55491;-0.0109041;
0.100053;1.50585;1.49496;2.57419;-0.0108904;
0.100063;1.50884;1.49797;2.59306;-0.0108737;
0.100073;1.51176;1.5009;2.61145;-0.0108541;
0.100083;1.51458;1.50375;2.62929;-0.0108315;
0.100093;1.5173;1.50649;2.6465;-0.0108061;
0.100103;1.5199;1.50912;2.66302;-0.010778;
0.100113;1.52238;1.51163;2.67878;-0.0107473;
0.100123;1.52473;1.51401;2.69373;-0.0107142;
0.100133;1.52693;1.51625;2.70779;-0.0106788;
0.100143;1.52898;1.51834;2.72093;-0.0106413;
0.100153;1.53088;1.52027;2.73308;-0.0106017;
0.100163;1.5326;1.52204;2.7442;-0.0105604;
0.100173;1.53416;1.52364;2.75425;-0.0105173;
0.100183;1.53554;1.52507;2.76319;-0.0104728;
0.100193;1.53673;1.52631;2.77098;-0.010427;
0.100203;1.53774;1.52736;2.77761;-0.0103801;
0.100213;1.53856;1.52823;2.78303;-0.0103322;
0.100223;1.53919;1.5289;2.78724;-0.0102836;
0.100233;1.53962;1.52939;2.79022;-0.0102344;
0.100243;1.53986;1.52967;2.79196;-0.0101847;
0.100253;1.53989;1.52976;2.79245;-0.0101349;
0.100263;1.53974;1.52965;2.79169;-0.010085;
0.100273;1.53938;1.52935;2.78968;-0.0100352;
0.100283;1.53883;1.52885;2.78643;-0.00998579;
0.100293;1.53809;1.52815;2.78196;-0.00993684;
0.100303;1.53715;1.52727;2.77627;-0.00988856;
0.100313;1.53603;1.52619;2.76939;-0.00984114;
0.100323;1.53473;1.52493;2.76134;-0.00979475;
0.100333;1.53324;1.52349;2.75216;-0.00974959;
0.100343;1.53158;1.52187;2.74187;-0.00970583;
0.100353;1.52975;1.52009;2.73052;-0.00966365;
0.100363;1.52776;1.51814;2.71815;-0.00962322;
0.100373;1.52562;1.51603;2.70481;-0.00958472;
0.100383;1.52332;1.51378;2.69055;-0.00954831;
0.100393;1.5209;1.51138;2.67542;-0.00951414;
0.100403;1.51834;1.50886;2.65949;-0.00948236;
0.100413;1.51567;1.50621;2.64281;-0.00945311;
0.100423;1.51289;1.50346;2.62546;-0.00942651;
0.100433;1.51001;1.5006;2.60749;-0.00940267;
0.100443;1.50704;1.49766;2.58899;-0.0093817;
0.100453;1.50401;1.49465;2.57002;-0.00936367;
0.100463;1.50091;1.49156;2.55067;-0.00934868;
0.100473;1.49777;1.48843;2.531;-0.00933676;
0.100483;1.49459;1.48526;2.5111;-0.00932799;
0.100493;1.49138;1.48206;2.49104;-0.00932238;
0.100503;1.48817;1.47885;2.47091;-0.00931996;
0.100513;1.48496;1.47564;2.45079;-0.00932074;
0.100523;1.48176;1.47244;2.43075;-0.00932471;
