time;V(/OUT_SINGLE);user0;user1;
0.200006;2.46926;0.0007142;-0.00531283;
0.200016;2.44216;0.00196977;-0.0143401;
0.200026;2.41522;0.00321756;-0.0233106;
0.200036;2.38853;0.00445266;-0.032189;
0.200046;2.3622;0.00567018;-0.0409401;
0.200056;2.33633;0.00686533;-0.0495293;
0.200066;2.31103;0.00803338;-0.0579228;
0.200076;2.2864;0.00916973;-0.0660873;
0.200086;2.26253;0.0102699;-0.0739906;
0.200096;2.23952;0.0113295;-0.0816015;
0.200106;2.21746;0.0123444;-0.08889;
0.200116;2.19644;0.0133106;-0.0958274;
0.200126;2.17654;0.0142243;-0.102386;
0.200136;2.15783;0.0150818;-0.108541;
0.200146;2.14039;0.0158798;-0.114267;
0.200156;2.1243;0.0166152;-0.119542;
0.200166;2.1096;0.0172849;-0.124345;
0.200176;2.09637;0.0178865;-0.128657;
0.200186;2.08465;0.0184174;-0.132462;
0.200196;2.07449;0.0188757;-0.135744;
0.200206;2.06593;0.0192595;-0.13849;
0.200216;2.059;0.0195673;-0.14069;
0.200226;2.05373;0.0197978;-0.142336;
0.200236;2.05014;0.0199502;-0.14342;
0.200246;2.04824;0.0200239;-0.143938;
0.200256;2.04805;0.0200186;-0.143889;
0.200266;2.04956;0.0199342;-0.143272;
0.200276;2.05276;0.0197712;-0.142091;
0.200286;2.05765;0.0195302;-0.140349;
0.200296;2.0642;0.019212;-0.138053;
0.200306;2.0724;0.0188181;-0.135213;
0.200316;2.0822;0.0183499;-0.131839;
0.200326;2.09356;0.0178093;-0.127945;
0.200336;2.10646;0.0171983;-0.123547;
0.200346;2.12082;0.0165196;-0.11866;
0.200356;2.1366;0.0157756;-0.113306;
0.200366;2.15374;0.0149693;-0.107504;
0.200376;2.17216;0.014104;-0.101277;
0.200386;2.1918;0.013183;-0.0946511;
0.200396;2.21258;0.01221;-0.0876508;
0.200406;2.23441;0.0111888;-0.0803043;
0.200416;2.25721;0.0101235;-0.0726405;
0.200426;2.28089;0.00901817;-0.0646897;
0.200436;2.30536;0.00787727;-0.0564831;
0.200446;2.33051;0.00670528;-0.0480533;
0.200456;2.35626;0.00550684;-0.0394336;
0.200466;2.38249;0.00428665;-0.0306579;
0.200476;2.40911;0.00304956;-0.021761;
0.200486;2.43601;0.00180042;-0.0127781;
0.200496;2.46308;0.000544184;-0.00374467;
0.200506;2.49021;-0.000714202;0.00530355;
0.200516;2.51731;-0.00196977;0.0143308;
0.200526;2.54425;-0.00321756;0.0233013;
0.200536;2.57094;-0.00445266;0.0321797;
0.200546;2.59727;-0.00567018;0.0409308;
0.200556;2.62314;-0.00686533;0.0495201;
0.200566;2.64844;-0.00803338;0.0579135;
0.200576;2.67307;-0.00916973;0.066078;
0.200586;2.69694;-0.0102699;0.0739813;
0.200596;2.71995;-0.0113295;0.0815922;
0.200606;2.74201;-0.0123444;0.0888808;
0.200616;2.76303;-0.0133106;0.0958181;
0.200626;2.78293;-0.0142243;0.102377;
