time;V(/IN);user0;
0.100009;0.0059528;0.107027;
0.100019;0.012209;0.132112;
0.100029;0.018417;0.157028;
0.100039;0.0245523;0.181676;
0.100049;0.0305907;0.205959;
0.100059;0.0365083;0.229782;
0.100069;0.0422819;0.253049;
0.100079;0.0478887;0.27567;
0.100089;0.0533064;0.297555;
0.100099;0.0585138;0.318617;
0.100109;0.0634902;0.338774;
0.100119;0.0682161;0.357946;
0.100129;0.0726727;0.376058;
0.100139;0.0768426;0.393037;
0.100149;0.0807091;0.408817;
0.100159;0.0842572;0.423336;
0.100169;0.0874727;0.436535;
0.100179;0.0903431;0.448364;
0.100189;0.0928568;0.458776;
0.100199;0.0950041;0.467729;
0.100209;0.0967765;0.475188;
0.100219;0.098167;0.481123;
0.100229;0.09917;0.485512;
0.100239;0.0997816;0.488337;
0.100249;0.0999995;0.489586;
0.100259;0.0998227;0.489256;
0.100269;0.0992519;0.487346;
0.100279;0.0982894;0.483865;
0.100289;0.0969391;0.478826;
0.100299;0.0952061;0.47225;
0.100309;0.0930975;0.464162;
0.100319;0.0906214;0.454594;
0.100329;0.0877877;0.443584;
0.100339;0.0846075;0.431175;
0.100349;0.0810934;0.417416;
0.100359;0.0772593;0.402363;
0.100369;0.0731202;0.386073;
0.100379;0.0686926;0.368611;
0.100389;0.0639939;0.350047;
0.100399;0.0590426;0.330454;
0.100409;0.0538584;0.309908;
0.100419;0.0484615;0.288491;
0.100429;0.0428735;0.266287;
0.100439;0.0371162;0.243385;
0.100449;0.0312124;0.219874;
0.100459;0.0251855;0.195847;
0.100469;0.0190591;0.171399;
0.100479;0.0128575;0.146627;
0.100489;0.00660524;0.121628;
0.100499;0.000326863;0.0965012;
0.100509;-0.0059528;0.0713454;
0.100519;-0.012209;0.0462601;
0.100529;-0.018417;0.0213441;
0.100539;-0.0245523;-0.00330409;
0.100549;-0.0305907;-0.0275873;
0.100559;-0.0365083;-0.0514096;
0.100569;-0.0422819;-0.0746771;
0.100579;-0.0478887;-0.0972979;
0.100589;-0.0533064;-0.119183;
0.100599;-0.0585138;-0.140245;
0.100609;-0.0634902;-0.160402;
0.100619;-0.0682161;-0.179574;
0.100629;-0.0726727;-0.197686;
0.100639;-0.0768426;-0.214665;
0.100649;-0.0807091;-0.230445;
0.100659;-0.0842572;-0.244963;
0.100669;-0.0874727;-0.258163;
0.100679;-0.0903431;-0.269992;
0.100689;-0.0928568;-0.280404;
0.100699;-0.0950041;-0.289357;
0.100709;-0.0967765;-0.296816;
0.100719;-0.098167;-0.302751;
0.100729;-0.09917;-0.30714;
0.100739;-0.0997816;-0.309965;
0.100749;-0.0999995;-0.311214;
0.100759;-0.0998227;-0.310883;
0.100769;-0.0992519;-0.308974;
0.100779;-0.0982894;-0.305493;
0.100789;-0.0969391;-0.300454;
0.100799;-0.0952061;-0.293878;
0.100809;-0.0930975;-0.28579;
0.100819;-0.0906214;-0.276222;
0.100829;-0.0877877;-0.265211;
0.100839;-0.0846075;-0.252803;
0.100849;-0.0810934;-0.239044;
0.100859;-0.0772593;-0.22399;
0.100869;-0.0731202;-0.207701;
0.100879;-0.0686926;-0.190239;
0.100889;-0.0639939;-0.171675;
0.100899;-0.0590426;-0.152081;
0.100909;-0.0538584;-0.131535;
0.100919;-0.0484615;-0.110118;
0.100929;-0.0428735;-0.087915;
0.100939;-0.0371162;-0.0650125;
0.100949;-0.0312124;-0.0415015;
