time;user0;user1;
0.100001;0.000149873;-0.00132185;
0.100011;0.00140732;-0.0107879;
0.100021;0.00265922;-0.0202113;
0.100031;0.00390062;-0.0295548;
0.100041;0.00512663;-0.0387816;
0.100051;0.0063324;-0.047855;
0.100061;0.00751318;-0.0567392;
0.100071;0.00866432;-0.0653992;
0.100081;0.00978125;-0.0738008;
0.100091;0.0108596;-0.0819107;
0.100101;0.0118951;-0.089697;
0.100111;0.0128836;-0.0971289;
0.100121;0.0138213;-0.104177;
0.100131;0.0147044;-0.110814;
0.100141;0.0155295;-0.117014;
0.100151;0.0162934;-0.122751;
0.100161;0.0169929;-0.128004;
0.100171;0.0176253;-0.132752;
0.100181;0.0181882;-0.136976;
0.100191;0.0186794;-0.140659;
0.100201;0.0190968;-0.143788;
0.100211;0.0194388;-0.146349;
0.100221;0.0197041;-0.148333;
0.100231;0.0198917;-0.149733;
0.100241;0.0200007;-0.150541;
0.100251;0.0200308;-0.150756;
0.100261;0.0199819;-0.150377;
0.100271;0.0198541;-0.149405;
0.100281;0.0196479;-0.147843;
0.100291;0.0193642;-0.145698;
0.100301;0.0190041;-0.142979;
0.100311;0.018569;-0.139696;
0.100321;0.0180606;-0.135861;
0.100331;0.0174809;-0.131491;
0.100341;0.0168323;-0.126601;
0.100351;0.0161172;-0.121212;
0.100361;0.0153385;-0.115345;
0.100371;0.0144992;-0.109022;
0.100381;0.0136028;-0.102269;
0.100391;0.0126526;-0.0951116;
0.100401;0.0116526;-0.0875787;
0.100411;0.0106065;-0.0796998;
0.100421;0.00951858;-0.071506;
0.100431;0.00839309;-0.0630296;
0.100441;0.00723448;-0.0543042;
0.100451;0.00604732;-0.0453641;
0.100461;0.00483629;-0.0362447;
0.100471;0.00360617;-0.026982;
0.100481;0.00236183;-0.0176127;
0.100491;0.00110816;-0.00817371;
0.100501;-0.000149882;0.00129751;
0.100511;-0.00140733;0.0107635;
0.100521;-0.00265923;0.020187;
0.100531;-0.00390063;0.0295305;
0.100541;-0.00512664;0.0387572;
0.100551;-0.00633241;0.0478306;
0.100561;-0.00751319;0.0567149;
0.100571;-0.00866433;0.0653749;
0.100581;-0.00978126;0.0737765;
0.100591;-0.0108596;0.0818864;
0.100601;-0.0118951;0.0896727;
0.100611;-0.0128836;0.0971046;
0.100621;-0.0138213;0.104153;
