time;V(/OUT_N);V(/OUT_P);user1;
0.100007;0.971378;0.964513;-0.00686476;
0.100017;0.975888;0.960003;-0.0158848;
0.100027;0.980367;0.955525;-0.0248421;
0.100037;0.984797;0.951096;-0.0337013;
0.100047;0.989161;0.946734;-0.0424272;
0.100057;0.993441;0.942456;-0.0509854;
0.100067;0.99762;0.938278;-0.059342;
0.100077;1.00168;0.934218;-0.0674642;
0.100087;1.00561;0.930292;-0.0753198;
0.100097;1.00939;0.926514;-0.0828777;
0.100107;1.01301;0.9229;-0.0901083;
0.100117;1.01645;0.919464;-0.0969829;
0.100127;1.01969;0.91622;-0.103475;
0.100137;1.02274;0.913179;-0.109558;
0.100147;1.02556;0.910356;-0.115208;
0.100157;1.02816;0.907759;-0.120404;
0.100167;1.03052;0.9054;-0.125124;
0.100177;1.03264;0.903288;-0.129351;
0.100187;1.0345;0.90143;-0.133067;
0.100197;1.03609;0.899836;-0.136259;
0.100207;1.03742;0.898509;-0.138913;
0.100217;1.03848;0.897457;-0.141019;
0.100227;1.03925;0.896683;-0.142569;
0.100237;1.03975;0.896189;-0.143557;
0.100247;1.03996;0.895978;-0.143978;
0.100257;1.03988;0.896052;-0.143832;
0.100267;1.03953;0.896408;-0.143119;
0.100277;1.03889;0.897047;-0.141841;
0.100287;1.03797;0.897965;-0.140004;
0.100297;1.03677;0.899159;-0.137614;
0.100307;1.03531;0.900624;-0.134682;
0.100317;1.03357;0.902355;-0.131219;
0.100327;1.03158;0.904344;-0.127238;
0.100337;1.02934;0.906585;-0.122754;
0.100347;1.02685;0.909068;-0.117787;
0.100357;1.02414;0.911783;-0.112354;
0.100367;1.0212;0.914719;-0.106478;
0.100377;1.01805;0.917866;-0.100182;
0.100387;1.0147;0.921211;-0.0934895;
0.100397;1.01117;0.924741;-0.0864282;
0.100407;1.00747;0.928441;-0.0790254;
0.100417;1.00361;0.932297;-0.0713104;
0.100427;0.999608;0.936294;-0.0633137;
0.100437;0.995484;0.940417;-0.0550667;
0.100447;0.991251;0.944648;-0.0466021;
0.100457;0.986925;0.948972;-0.0379532;
0.100467;0.982525;0.953371;-0.0291544;
0.100477;0.978068;0.957828;-0.0202403;
0.100487;0.973571;0.962324;-0.0112463;
