time;V(/OUT_N);V(/OUT_P);user1;
0.100007;1.01655;1.00941;-0.00713585;
0.100017;1.02127;1.00469;-0.0165801;
0.100027;1.02596;1;-0.0259589;
0.100037;1.0306;0.995366;-0.035235;
0.100047;1.03517;0.990798;-0.0443719;
0.100057;1.03965;0.986319;-0.0533333;
0.100067;1.04403;0.981944;-0.062084;
0.100077;1.04828;0.977693;-0.0705893;
0.100087;1.0524;0.973581;-0.0788156;
0.100097;1.05636;0.969624;-0.0867306;
0.100107;1.06014;0.96584;-0.0943029;
0.100117;1.06374;0.962241;-0.101503;
0.100127;1.06714;0.958843;-0.108302;
0.100137;1.07033;0.955659;-0.114673;
0.100147;1.07329;0.952701;-0.120591;
0.100157;1.07601;0.949981;-0.126034;
0.100167;1.07849;0.94751;-0.130979;
0.100177;1.0807;0.945297;-0.135407;
0.100187;1.08265;0.943351;-0.139301;
0.100197;1.08433;0.941679;-0.142646;
0.100207;1.08572;0.940289;-0.145427;
0.100217;1.08682;0.939186;-0.147636;
0.100227;1.08763;0.938373;-0.149261;
0.100237;1.08815;0.937855;-0.150299;
0.100247;1.08838;0.937633;-0.150743;
0.100257;1.0883;0.937708;-0.150593;
0.100267;1.08793;0.938079;-0.14985;
0.100277;1.08726;0.938746;-0.148515;
0.100287;1.0863;0.939706;-0.146594;
0.100297;1.08505;0.940955;-0.144096;
0.100307;1.08352;0.942487;-0.141029;
0.100317;1.0817;0.944298;-0.137406;
0.100327;1.07962;0.94638;-0.13324;
0.100337;1.07727;0.948724;-0.128549;
0.100347;1.07467;0.951322;-0.123351;
0.100357;1.07183;0.954163;-0.117665;
0.100367;1.06875;0.957237;-0.111515;
0.100377;1.06546;0.96053;-0.104925;
0.100387;1.06195;0.964031;-0.0979208;
0.100397;1.05826;0.967726;-0.0905296;
0.100407;1.05438;0.971599;-0.0827807;
0.100417;1.05034;0.975635;-0.0747048;
0.100427;1.04615;0.97982;-0.0663336;
0.100437;1.04184;0.984135;-0.0577004;
0.100447;1.0374;0.988565;-0.048839;
0.100457;1.03288;0.993092;-0.0397846;
0.100467;1.02827;0.997697;-0.030573;
0.100477;1.0236;1.00236;-0.0212405;
0.100487;1.01889;1.00707;-0.0118241;
0.100497;1.01416;1.0118;-0.00236091;
0.100507;1.00943;1.01654;0.00711153;
0.100517;1.0047;1.02126;0.0165558;
0.100527;1.00002;1.02595;0.0259346;
0.100537;0.995378;1.03059;0.0352107;
0.100547;0.99081;1.03516;0.0443476;
0.100557;0.986331;1.03964;0.053309;
0.100567;0.981956;1.04402;0.0620597;
0.100577;0.977705;1.04827;0.070565;
0.100587;0.973593;1.05238;0.0787914;
0.100597;0.969637;1.05634;0.0867063;
0.100607;0.965852;1.06013;0.0942786;
0.100617;0.962253;1.06373;0.101478;
0.100627;0.958855;1.06713;0.108277;
0.100637;0.955671;1.07032;0.114649;
0.100647;0.952713;1.07328;0.120567;
0.100657;0.949993;1.076;0.12601;
0.100667;0.947522;1.07848;0.130955;
0.100677;0.945309;1.08069;0.135383;
0.100687;0.943363;1.08264;0.139277;
0.100697;0.941691;1.08431;0.142621;
0.100707;0.940301;1.0857;0.145403;
0.100717;0.939198;1.08681;0.147611;
0.100727;0.938385;1.08762;0.149237;
0.100737;0.937867;1.08814;0.150274;
0.100747;0.937645;1.08836;0.150719;
0.100757;0.93772;1.08829;0.150569;
0.100767;0.938091;1.08792;0.149825;
0.100777;0.938758;1.08725;0.148491;
0.100787;0.939718;1.08629;0.14657;
0.100797;0.940967;1.08504;0.144072;
0.100807;0.942499;1.0835;0.141005;
0.100817;0.94431;1.08169;0.137381;
0.100827;0.946392;1.07961;0.133216;
0.100837;0.948736;1.07726;0.128525;
0.100847;0.951334;1.07466;0.123326;
0.100857;0.954175;1.07182;0.117641;
0.100867;0.957249;1.06874;0.111491;
0.100877;0.960542;1.06544;0.104901;
0.100887;0.964043;1.06194;0.0978966;
0.100897;0.967738;1.05824;0.0905053;
0.100907;0.971611;1.05437;0.0827565;
0.100917;0.975647;1.05033;0.0746805;
0.100927;0.979832;1.04614;0.0663094;
0.100937;0.984147;1.04182;0.0576761;
0.100947;0.988577;1.03739;0.0488148;
0.100957;0.993104;1.03286;0.0397604;
0.100967;0.997709;1.02826;0.0305488;
0.100977;1.00237;1.02359;0.0212163;
0.100987;1.00708;1.01888;0.0117998;
0.100997;1.01181;1.01415;0.00233669;
0.101007;1.01655;1.00941;-0.00713575;
0.101017;1.02127;1.00469;-0.01658;
0.101027;1.02596;1;-0.0259588;
0.101037;1.0306;0.995366;-0.0352349;
0.101047;1.03517;0.990798;-0.0443718;
0.101057;1.03965;0.986318;-0.0533332;
0.101067;1.04403;0.981944;-0.0620839;
0.101077;1.04828;0.977693;-0.0705892;
0.101087;1.0524;0.973581;-0.0788156;
0.101097;1.05635;0.969624;-0.0867305;
0.101107;1.06014;0.96584;-0.0943028;
0.101117;1.06374;0.962241;-0.101503;
0.101127;1.06714;0.958843;-0.108301;
0.101137;1.07033;0.955659;-0.114673;
0.101147;1.07329;0.952701;-0.120591;
0.101157;1.07601;0.949981;-0.126034;
0.101167;1.07849;0.947509;-0.130979;
0.101177;1.0807;0.945296;-0.135407;
0.101187;1.08265;0.943351;-0.139301;
0.101197;1.08432;0.941679;-0.142646;
0.101207;1.08572;0.940289;-0.145427;
0.101217;1.08682;0.939186;-0.147635;
0.101227;1.08763;0.938373;-0.149261;
0.101237;1.08815;0.937855;-0.150299;
0.101247;1.08838;0.937633;-0.150743;
0.101257;1.0883;0.937708;-0.150593;
0.101267;1.08793;0.938079;-0.14985;
0.101277;1.08726;0.938746;-0.148515;
0.101287;1.0863;0.939706;-0.146594;
0.101297;1.08505;0.940955;-0.144096;
0.101307;1.08352;0.942487;-0.141029;
0.101317;1.0817;0.944298;-0.137406;
0.101327;1.07962;0.946379;-0.13324;
0.101337;1.07727;0.948724;-0.128549;
0.101347;1.07467;0.951322;-0.123351;
0.101357;1.07183;0.954163;-0.117665;
0.101367;1.06875;0.957237;-0.111515;
0.101377;1.06546;0.96053;-0.104925;
0.101387;1.06195;0.964031;-0.0979207;
0.101397;1.05825;0.967725;-0.0905295;
0.101407;1.05438;0.971599;-0.0827806;
0.101417;1.05034;0.975635;-0.0747047;
0.101427;1.04615;0.97982;-0.0663335;
0.101437;1.04184;0.984135;-0.0577003;
0.101447;1.0374;0.988565;-0.0488389;
0.101457;1.03288;0.993091;-0.0397845;
0.101467;1.02827;0.997697;-0.0305729;
0.101477;1.0236;1.00236;-0.0212404;
0.101487;1.01889;1.00707;-0.011824;
0.101497;1.01416;1.0118;-0.00236082;
0.101507;1.00943;1.01654;0.00711163;
0.101517;1.0047;1.02126;0.0165559;
0.101527;1.00002;1.02595;0.0259346;
0.101537;0.995378;1.03059;0.0352108;
0.101547;0.99081;1.03516;0.0443477;
0.101557;0.98633;1.03964;0.0533091;
0.101567;0.981956;1.04402;0.0620598;
0.101577;0.977704;1.04827;0.0705651;
0.101587;0.973592;1.05238;0.0787914;
0.101597;0.969636;1.05634;0.0867064;
0.101607;0.965851;1.06013;0.0942787;
0.101617;0.962253;1.06373;0.101478;
0.101627;0.958855;1.06713;0.108277;
0.101637;0.955671;1.07032;0.114649;
0.101647;0.952713;1.07328;0.120567;
0.101657;0.949993;1.076;0.12601;
0.101667;0.947521;1.07848;0.130955;
0.101677;0.945308;1.08069;0.135383;
0.101687;0.943362;1.08264;0.139277;
0.101697;0.941691;1.08431;0.142621;
