time;V(/OUT_N);V(/OUT_P);user1;
0.1;0.834431;0.975511;0.14108;
0.10001;0.838332;0.970953;0.132621;
0.10002;0.842217;0.966414;0.124197;
0.10003;0.846072;0.961912;0.115841;
0.10004;0.84988;0.957466;0.107586;
0.10005;0.853626;0.953092;0.0994656;
0.10006;0.857297;0.948808;0.091511;
0.10007;0.860877;0.944631;0.0837539;
0.10008;0.864352;0.940577;0.0762249;
0.10009;0.867708;0.936662;0.0689537;
0.1001;0.870933;0.932902;0.061969;
0.10011;0.874013;0.929311;0.0552984;
0.10012;0.876937;0.925905;0.0489681;
0.10013;0.879692;0.922695;0.0430032;
0.10014;0.882268;0.919695;0.037427;
0.10015;0.884655;0.916917;0.0322616;
0.10016;0.886843;0.914371;0.0275273;
0.10017;0.888824;0.912067;0.0232426;
0.10018;0.890591;0.910015;0.0194244;
0.10019;0.892135;0.908222;0.0160877;
0.1002;0.893451;0.906696;0.0132457;
0.10021;0.894533;0.905443;0.0109093;
0.10022;0.895378;0.904466;0.00908798;
0.10023;0.895983;0.903771;0.00778868;
0.10024;0.896344;0.903361;0.00701654;
0.10025;0.896461;0.903235;0.00677461;
0.10026;0.896332;0.903396;0.00706382;
0.10027;0.895959;0.903842;0.00788304;
0.10028;0.895343;0.904572;0.00922907;
0.10029;0.894486;0.905582;0.0110966;
0.1003;0.893392;0.90687;0.0134783;
0.10031;0.892064;0.908429;0.0163649;
0.10032;0.890509;0.910254;0.019745;
0.10033;0.888733;0.912338;0.0236054;
0.10034;0.886741;0.914672;0.0279308;
0.10035;0.884543;0.917247;0.0327043;
0.10036;0.882147;0.920054;0.0379071;
0.10037;0.879561;0.92308;0.0435188;
0.10038;0.876798;0.926315;0.0495172;
0.10039;0.873866;0.929745;0.0558788;
0.1004;0.870779;0.933357;0.0625784;
0.10041;0.867547;0.937137;0.0695897;
0.10042;0.864185;0.94107;0.076885;
0.10043;0.860704;0.94514;0.0844355;
0.10044;0.85712;0.949331;0.0922114;
0.10045;0.853445;0.953627;0.100182;
0.10046;0.849695;0.958011;0.108316;
0.10047;0.845884;0.962465;0.116581;
0.10048;0.842028;0.966972;0.124944;
0.10049;0.838142;0.971515;0.133373;
0.1005;0.834241;0.976074;0.141833;
0.10051;0.83034;0.980632;0.150292;
0.10052;0.826455;0.985171;0.158716;
0.10053;0.822602;0.989674;0.167072;
0.10054;0.818795;0.994122;0.175327;
0.10055;0.815049;0.998497;0.183447;
0.10056;0.81138;1.00278;0.191402;
0.10057;0.807802;1.00696;0.199159;
0.10058;0.804329;1.01102;0.206689;
0.10059;0.800975;1.01493;0.21396;
0.1006;0.797752;1.0187;0.220945;
0.10061;0.794674;1.02229;0.227615;
0.10062;0.791753;1.0257;0.233946;
0.10063;0.789;1.02891;0.239911;
0.10064;0.786427;1.03191;0.245487;
0.10065;0.784042;1.03469;0.250653;
0.10066;0.781856;1.03724;0.255387;
0.10067;0.779877;1.03955;0.259672;
0.10068;0.778113;1.0416;0.263491;
0.10069;0.77657;1.0434;0.266827;
0.1007;0.775256;1.04493;0.269669;
0.10071;0.774175;1.04618;0.272006;
0.10072;0.77333;1.04716;0.273827;
0.10073;0.772727;1.04785;0.275126;
0.10074;0.772366;1.04826;0.275899;
0.10075;0.77225;1.04839;0.27614;
0.10076;0.772378;1.04823;0.275851;
0.10077;0.772751;1.04778;0.275032;
0.10078;0.773366;1.04705;0.273685;
0.10079;0.774222;1.04604;0.271818;
0.1008;0.775315;1.04475;0.269436;
0.10081;0.776641;1.04319;0.266549;
0.10082;0.778194;1.04136;0.263168;
0.10083;0.779969;1.03928;0.259308;
0.10084;0.781959;1.03694;0.254982;
0.10085;0.784155;1.03436;0.250208;
0.10086;0.786549;1.03155;0.245005;
0.10087;0.789132;1.02852;0.239393;
0.10088;0.791893;1.02529;0.233394;
0.10089;0.794823;1.02185;0.227032;
0.1009;0.797908;1.01824;0.220332;
0.10091;0.801137;1.01446;0.21332;
0.10092;0.804498;1.01052;0.206024;
0.10093;0.807977;1.00645;0.198474;
0.10094;0.811559;1.00226;0.190697;
0.10095;0.815233;0.997959;0.182726;
0.10096;0.818981;0.993574;0.174592;
0.10097;0.822791;0.989118;0.166327;
0.10098;0.826646;0.98461;0.157964;
0.10099;0.830532;0.980067;0.149535;
0.101;0.834434;0.975508;0.141074;
0.10101;0.838335;0.97095;0.132615;
0.10102;0.84222;0.966411;0.124191;
0.10103;0.846074;0.961909;0.115835;
0.10104;0.849882;0.957463;0.107581;
0.10105;0.853629;0.953089;0.09946;
0.10106;0.857299;0.948805;0.0915054;
0.10107;0.860879;0.944627;0.0837483;
0.10108;0.864354;0.940573;0.0762192;
0.10109;0.867711;0.936659;0.068948;
0.1011;0.870935;0.932899;0.0619634;
0.10111;0.874016;0.929308;0.0552927;
0.10112;0.876939;0.925902;0.0489625;
0.10113;0.879694;0.922692;0.0429975;
0.10114;0.882271;0.919692;0.0374214;
0.10115;0.884658;0.916913;0.032256;
0.10116;0.886846;0.914367;0.0275216;
0.10117;0.888827;0.912064;0.0232369;
0.10118;0.890593;0.910012;0.0194188;
0.10119;0.892137;0.908219;0.0160821;
0.1012;0.893453;0.906693;0.01324;
0.10121;0.894536;0.905439;0.0109037;
0.10122;0.895381;0.904463;0.00908234;
0.10123;0.895985;0.903768;0.00778304;
0.10124;0.896346;0.903357;0.00701091;
0.10125;0.896463;0.903232;0.00676898;
0.10126;0.896334;0.903393;0.00705819;
0.10127;0.895961;0.903839;0.00787741;
0.10128;0.895345;0.904569;0.00922343;
0.10129;0.894488;0.905579;0.011091;
0.1013;0.893394;0.906867;0.0134727;
0.10131;0.892067;0.908426;0.0163593;
0.10132;0.890512;0.910251;0.0197394;
0.10133;0.888735;0.912335;0.0235997;
0.10134;0.886744;0.914669;0.0279252;
0.10135;0.884545;0.917244;0.0326987;
0.10136;0.882149;0.92005;0.0379015;
0.10137;0.879564;0.923077;0.0435132;
0.10138;0.8768;0.926312;0.0495116;
0.10139;0.873869;0.929742;0.0558731;
