time;V(/OUT_N);V(/OUT_P);V(/OUT_SINGLE);V(/Vmid);
9.00001;0.555425;0.554778;2.48553;2.5;
9.00002;0.558196;0.557548;2.50286;2.5;
9.00003;0.560951;0.560305;2.52013;2.5;
9.00004;0.563677;0.563036;2.53729;2.5;
9.00005;0.566365;0.565731;2.55426;2.5;
9.00006;0.569004;0.56838;2.57097;2.5;
9.00007;0.571583;0.570971;2.58736;2.5;
9.00008;0.574092;0.573495;2.60336;2.5;
9.00009;0.576521;0.575941;2.61891;2.5;
9.0001;0.57886;0.5783;2.63395;2.5;
9.00011;0.581101;0.580562;2.64841;2.5;
9.00012;0.583234;0.582719;2.66225;2.5;
9.00013;0.585251;0.584761;2.67541;2.5;
9.00014;0.587144;0.586682;2.68783;2.5;
9.00015;0.588906;0.588473;2.69947;2.5;
9.00016;0.590529;0.590127;2.71028;2.5;
9.00017;0.592008;0.591639;2.72022;2.5;
9.00018;0.593336;0.593001;2.72924;2.5;
9.00019;0.594509;0.594209;2.73733;2.5;
9.0002;0.595521;0.595258;2.74444;2.5;
9.00021;0.59637;0.596144;2.75054;2.5;
9.00022;0.597051;0.596864;2.75562;2.5;
9.00023;0.597562;0.597414;2.75965;2.5;
9.00024;0.597901;0.597793;2.76262;2.5;
9.00025;0.598066;0.597999;2.76451;2.5;
9.00026;0.598058;0.598031;2.76533;2.5;
9.00027;0.597876;0.597889;2.76506;2.5;
9.00028;0.597521;0.597574;2.7637;2.5;
9.00029;0.596993;0.597087;2.76127;2.5;
9.0003;0.596296;0.59643;2.75777;2.5;
9.00031;0.595432;0.595605;2.75322;2.5;
9.00032;0.594404;0.594616;2.74762;2.5;
9.00033;0.593217;0.593467;2.74102;2.5;
9.00034;0.591874;0.592161;2.73342;2.5;
9.00035;0.590381;0.590704;2.72486;2.5;
9.00036;0.588745;0.589102;2.71537;2.5;
9.00037;0.58697;0.587361;2.70499;2.5;
9.00038;0.585065;0.585487;2.69377;2.5;
9.00039;0.583037;0.583489;2.68173;2.5;
9.0004;0.580893;0.581374;2.66894;2.5;
9.00041;0.578643;0.57915;2.65544;2.5;
9.00042;0.576295;0.576826;2.64128;2.5;
9.00043;0.573858;0.574411;2.62652;2.5;
9.00044;0.571341;0.571915;2.61122;2.5;
9.00045;0.568756;0.569348;2.59543;2.5;
9.00046;0.566113;0.56672;2.57923;2.5;
9.00047;0.56342;0.564041;2.56267;2.5;
9.00048;0.560691;0.561322;2.54582;2.5;
9.00049;0.557934;0.558573;2.52876;2.5;
9.0005;0.555162;0.555807;2.51153;2.5;
9.00051;0.552385;0.553033;2.49422;2.5;
9.00052;0.549615;0.550263;2.47689;2.5;
9.00053;0.546862;0.547508;2.45962;2.5;
9.00054;0.544137;0.544778;2.44246;2.5;
9.00055;0.541451;0.542085;2.42549;2.5;
9.00056;0.538815;0.539439;2.40878;2.5;
9.00057;0.53624;0.536851;2.39239;2.5;
9.00058;0.533734;0.534331;2.37639;2.5;
9.00059;0.531309;0.531889;2.36084;2.5;
9.0006;0.528974;0.529535;2.3458;2.5;
9.00061;0.526738;0.527277;2.33134;2.5;
9.00062;0.524609;0.525125;2.3175;2.5;
9.00063;0.522597;0.523087;2.30434;2.5;
9.00064;0.520709;0.521171;2.29192;2.5;
9.00065;0.518951;0.519384;2.28028;2.5;
9.00066;0.517333;0.517734;2.26947;2.5;
9.00067;0.515858;0.516227;2.25954;2.5;
9.00068;0.514534;0.514869;2.25051;2.5;
9.00069;0.513365;0.513664;2.24242;2.5;
9.0007;0.512355;0.512618;2.23531;2.5;
9.00071;0.51151;0.511735;2.22921;2.5;
9.00072;0.510831;0.511018;2.22413;2.5;
9.00073;0.510321;0.510469;2.2201;2.5;
9.00074;0.509984;0.510092;2.21713;2.5;
9.00075;0.509818;0.509886;2.21524;2.5;
9.00076;0.509827;0.509854;2.21442;2.5;
9.00077;0.510008;0.509995;2.21469;2.5;
9.00078;0.510362;0.510309;2.21605;2.5;
9.00079;0.510888;0.510794;2.21848;2.5;
9.0008;0.511582;0.511449;2.22198;2.5;
9.00081;0.512444;0.512271;2.22653;2.5;
9.00082;0.513468;0.513256;2.23213;2.5;
9.00083;0.514652;0.514402;2.23873;2.5;
9.00084;0.515991;0.515704;2.24633;2.5;
9.00085;0.517479;0.517157;2.25489;2.5;
9.00086;0.519112;0.518754;2.26438;2.5;
9.00087;0.520881;0.520491;2.27476;2.5;
9.00088;0.522782;0.52236;2.28598;2.5;
9.00089;0.524805;0.524353;2.29802;2.5;
9.0009;0.526944;0.526464;2.31081;2.5;
9.00091;0.52919;0.528683;2.32432;2.5;
9.00092;0.531534;0.531003;2.33847;2.5;
9.00093;0.533967;0.533414;2.35323;2.5;
9.00094;0.53648;0.535906;2.36854;2.5;
9.00095;0.539062;0.53847;2.38432;2.5;
9.00096;0.541703;0.541096;2.40052;2.5;
9.00097;0.544393;0.543773;2.41708;2.5;
