time;V(/OUT_N);V(/OUT_SINGLE);
9;0.419227;2.48002;
9.00001;0.421103;2.49173;
9.00002;0.422976;2.50345;
9.00003;0.424837;2.51511;
9.00004;0.426679;2.52667;
9.00005;0.428493;2.53808;
9.00006;0.430273;2.5493;
9.00007;0.432011;2.56028;
9.00008;0.433702;2.57099;
9.00009;0.435337;2.58137;
9.0001;0.436911;2.59138;
9.00011;0.438417;2.601;
9.00012;0.439849;2.61017;
9.00013;0.441202;2.61887;
9.00014;0.44247;2.62705;
9.00015;0.443649;2.63469;
9.00016;0.444734;2.64176;
9.00017;0.44572;2.64823;
9.00018;0.446603;2.65407;
9.00019;0.447381;2.65927;
9.0002;0.448051;2.66379;
9.00021;0.448608;2.66764;
9.00022;0.449052;2.67078;
9.00023;0.449381;2.67321;
9.00024;0.449594;2.67492;
9.00025;0.449689;2.6759;
9.00026;0.449666;2.67615;
9.00027;0.449526;2.67567;
9.00028;0.449269;2.67446;
9.00029;0.448895;2.67252;
9.0003;0.448407;2.66986;
9.00031;0.447806;2.66649;
9.00032;0.447095;2.66243;
9.00033;0.446276;2.65769;
9.00034;0.445353;2.65229;
9.00035;0.444329;2.64624;
9.00036;0.443208;2.63958;
9.00037;0.441994;2.63233;
9.00038;0.440693;2.62451;
9.00039;0.439309;2.61616;
9.0004;0.437848;2.60731;
9.00041;0.436316;2.598;
9.00042;0.434718;2.58825;
9.00043;0.433061;2.57811;
9.00044;0.431352;2.56763;
9.00045;0.429597;2.55683;
9.00046;0.427804;2.54577;
9.00047;0.425979;2.53448;
9.00048;0.424129;2.52302;
9.00049;0.422264;2.51142;
9.0005;0.420389;2.49974;
9.00051;0.418512;2.48802;
9.00052;0.416641;2.4763;
9.00053;0.414782;2.46464;
9.00054;0.412945;2.45309;
9.00055;0.411134;2.44167;
9.00056;0.409359;2.43045;
9.00057;0.407626;2.41947;
9.00058;0.405941;2.40877;
9.00059;0.404312;2.39839;
9.0006;0.402745;2.38837;
9.00061;0.401246;2.37875;
9.00062;0.39982;2.36958;
9.00063;0.398474;2.36089;
9.00064;0.397212;2.3527;
9.00065;0.39604;2.34506;
9.00066;0.394962;2.33799;
9.00067;0.393982;2.33152;
9.00068;0.393103;2.32568;
9.00069;0.39233;2.32048;
9.0007;0.391665;2.31596;
9.00071;0.391111;2.31211;
9.00072;0.39067;2.30897;
9.00073;0.390342;2.30654;
9.00074;0.390131;2.30483;
9.00075;0.390036;2.30385;
9.00076;0.390058;2.3036;
9.00077;0.390197;2.30408;
9.00078;0.390452;2.30529;
9.00079;0.390822;2.30723;
9.0008;0.391306;2.30989;
9.00081;0.391902;2.31325;
9.00082;0.392608;2.31732;
9.00083;0.393421;2.32206;
9.00084;0.394338;2.32746;
9.00085;0.395356;2.3335;
9.00086;0.39647;2.34017;
9.00087;0.397677;2.34742;
9.00088;0.398972;2.35524;
9.00089;0.400349;2.36359;
9.0009;0.401803;2.37244;
9.00091;0.403329;2.38176;
9.00092;0.404921;2.3915;
9.00093;0.406572;2.40164;
9.00094;0.408276;2.41213;
9.00095;0.410027;2.42292;
9.00096;0.411817;2.43399;
9.00097;0.413639;2.44527;
9.00098;0.415486;2.45674;
9.00099;0.417351;2.46833;
9.001;0.419226;2.48002;
9.00101;0.421102;2.49173;
9.00102;0.422975;2.50345;
9.00103;0.424836;2.51511;
9.00104;0.426678;2.52667;
9.00105;0.428492;2.53808;
9.00106;0.430272;2.5493;
9.00107;0.43201;2.56028;
9.00108;0.433701;2.57099;
9.00109;0.435336;2.58137;
9.0011;0.43691;2.59138;
9.00111;0.438416;2.601;
9.00112;0.439848;2.61017;
9.00113;0.441201;2.61887;
9.00114;0.442469;2.62705;
9.00115;0.443648;2.63469;
9.00116;0.444733;2.64176;
9.00117;0.445719;2.64823;
9.00118;0.446602;2.65407;
9.00119;0.44738;2.65927;
9.0012;0.44805;2.66379;
9.00121;0.448607;2.66764;
9.00122;0.449052;2.67078;
9.00123;0.44938;2.67321;
9.00124;0.449593;2.67492;
9.00125;0.449688;2.6759;
9.00126;0.449665;2.67615;
9.00127;0.449525;2.67567;
9.00128;0.449268;2.67446;
9.00129;0.448894;2.67252;
9.0013;0.448406;2.66986;
9.00131;0.447805;2.66649;
9.00132;0.447094;2.66243;
9.00133;0.446275;2.65769;
9.00134;0.445352;2.65229;
9.00135;0.444328;2.64624;
9.00136;0.443207;2.63958;
9.00137;0.441993;2.63233;
9.00138;0.440692;2.62451;
9.00139;0.439308;2.61616;
9.0014;0.437847;2.60731;
9.00141;0.436315;2.598;
9.00142;0.434717;2.58825;
9.00143;0.43306;2.57811;
9.00144;0.431351;2.56763;
9.00145;0.429596;2.55683;
9.00146;0.427803;2.54577;
9.00147;0.425978;2.53448;
9.00148;0.424128;2.52302;
9.00149;0.422263;2.51142;
9.0015;0.420388;2.49974;
9.00151;0.418511;2.48802;
9.00152;0.41664;2.4763;
9.00153;0.414781;2.46464;
9.00154;0.412944;2.45309;
9.00155;0.411133;2.44167;
9.00156;0.409358;2.43045;
9.00157;0.407625;2.41947;
9.00158;0.40594;2.40877;
9.00159;0.404311;2.39839;
9.0016;0.402744;2.38837;
9.00161;0.401245;2.37875;
9.00162;0.399819;2.36958;
9.00163;0.398473;2.36089;
9.00164;0.397211;2.3527;
9.00165;0.396039;2.34506;
9.00166;0.394961;2.33799;
9.00167;0.393981;2.33152;
9.00168;0.393102;2.32568;
9.00169;0.392329;2.32048;
9.0017;0.391664;2.31596;
9.00171;0.39111;2.31211;
9.00172;0.390669;2.30897;
9.00173;0.390341;2.30654;
9.00174;0.39013;2.30483;
9.00175;0.390035;2.30385;
9.00176;0.390057;2.3036;
9.00177;0.390196;2.30408;
9.00178;0.390451;2.30529;
9.00179;0.390821;2.30723;
9.0018;0.391305;2.30989;
9.00181;0.391901;2.31325;
9.00182;0.392607;2.31732;
9.00183;0.39342;2.32206;
9.00184;0.394337;2.32746;
9.00185;0.395355;2.3335;
9.00186;0.396469;2.34017;
9.00187;0.397676;2.34742;
9.00188;0.398971;2.35524;
9.00189;0.400348;2.36359;
9.0019;0.401802;2.37244;
9.00191;0.403328;2.38176;
9.00192;0.40492;2.3915;
9.00193;0.406571;2.40164;
9.00194;0.408275;2.41213;
9.00195;0.410026;2.42292;
9.00196;0.411816;2.43399;
9.00197;0.413638;2.44527;
9.00198;0.415485;2.45674;
9.00199;0.41735;2.46833;
9.002;0.419225;2.48002;
9.00201;0.421101;2.49173;
9.00202;0.422974;2.50345;
9.00203;0.424835;2.51511;
9.00204;0.426677;2.52667;
9.00205;0.428491;2.53808;
9.00206;0.430271;2.5493;
9.00207;0.432009;2.56028;
9.00208;0.4337;2.57099;
9.00209;0.435335;2.58137;
9.0021;0.436909;2.59138;
9.00211;0.438415;2.601;
9.00212;0.439847;2.61017;
9.00213;0.4412;2.61887;
9.00214;0.442468;2.62705;
9.00215;0.443647;2.63469;
9.00216;0.444732;2.64176;
9.00217;0.445718;2.64823;
9.00218;0.446601;2.65407;
9.00219;0.447379;2.65927;
9.0022;0.448049;2.66379;
9.00221;0.448606;2.66764;
9.00222;0.449051;2.67078;
9.00223;0.449379;2.67321;
9.00224;0.449592;2.67492;
9.00225;0.449687;2.6759;
9.00226;0.449664;2.67615;
9.00227;0.449524;2.67567;
9.00228;0.449267;2.67446;
9.00229;0.448893;2.67252;
9.0023;0.448405;2.66986;
9.00231;0.447804;2.66649;
9.00232;0.447093;2.66243;
9.00233;0.446274;2.65769;
9.00234;0.445351;2.65229;
9.00235;0.444327;2.64624;
9.00236;0.443206;2.63958;
9.00237;0.441992;2.63233;
9.00238;0.440691;2.62451;
9.00239;0.439307;2.61616;
9.0024;0.437846;2.60731;
9.00241;0.436314;2.598;
9.00242;0.434716;2.58825;
9.00243;0.433059;2.57811;
9.00244;0.43135;2.56763;
9.00245;0.429595;2.55683;
9.00246;0.427802;2.54577;
9.00247;0.425977;2.53448;
9.00248;0.424127;2.52302;
9.00249;0.422262;2.51142;
9.0025;0.420387;2.49974;
9.00251;0.41851;2.48802;
9.00252;0.416639;2.4763;
9.00253;0.41478;2.46464;
9.00254;0.412943;2.45309;
9.00255;0.411132;2.44167;
9.00256;0.409357;2.43045;
9.00257;0.407624;2.41947;
9.00258;0.405939;2.40877;
9.00259;0.40431;2.39839;
9.0026;0.402743;2.38837;
9.00261;0.401244;2.37875;
9.00262;0.399818;2.36958;
9.00263;0.398472;2.36089;
9.00264;0.39721;2.3527;
9.00265;0.396038;2.34506;
9.00266;0.39496;2.33799;
9.00267;0.39398;2.33152;
9.00268;0.393101;2.32568;
9.00269;0.392328;2.32048;
9.0027;0.391663;2.31596;
9.00271;0.391109;2.31211;
