time;V(/OUT_N);V(/OUT_SINGLE);
9;1.3228;4.96769;
9.00001;1.32617;4.98872;
9.00002;1.32953;5.00976;
9.00003;1.33287;5.03073;
9.00004;1.33618;5.05153;
9.00005;1.33943;5.07208;
9.00006;1.34262;5.09231;
9.00007;1.34574;5.11214;
9.00008;1.34877;5.13148;
9.00009;1.3517;5.15027;
9.0001;1.35452;5.16841;
9.00011;1.35721;5.18586;
9.00012;1.35978;5.20253;
9.00013;1.3622;5.21835;
9.00014;1.36447;5.23328;
9.00015;1.36658;5.24725;
9.00016;1.36852;5.26019;
9.00017;1.37028;5.27207;
9.00018;1.37186;5.28284;
9.00019;1.37325;5.29245;
9.0002;1.37444;5.30087;
9.00021;1.37543;5.30805;
9.00022;1.37622;5.31399;
9.00023;1.3768;5.31864;
9.00024;1.37717;5.32199;
9.00025;1.37733;5.32404;
9.00026;1.37727;5.32476;
9.00027;1.37701;5.32417;
9.00028;1.37654;5.32225;
9.00029;1.37585;5.31902;
9.0003;1.37496;5.3145;
9.00031;1.37387;5.30869;
9.00032;1.37258;5.30162;
9.00033;1.3711;5.29333;
9.00034;1.36942;5.28383;
9.00035;1.36757;5.27318;
9.00036;1.36555;5.2614;
9.00037;1.36336;5.24856;
9.00038;1.36101;5.23469;
9.00039;1.35852;5.21985;
9.0004;1.35588;5.20411;
9.00041;1.35312;5.18752;
9.00042;1.35025;5.17015;
9.00043;1.34727;5.15207;
9.00044;1.34419;5.13334;
9.00045;1.34104;5.11405;
9.00046;1.33781;5.09427;
9.00047;1.33453;5.07407;
9.00048;1.33121;5.05355;
9.00049;1.32786;5.03277;
9.0005;1.32449;5.01182;
9.00051;1.32112;4.99078;
9.00052;1.31775;4.96974;
9.00053;1.31442;4.94878;
9.00054;1.31111;4.92797;
9.00055;1.30786;4.90742;
9.00056;1.30467;4.88719;
9.00057;1.30155;4.86736;
9.00058;1.29853;4.84802;
9.00059;1.2956;4.82924;
9.0006;1.29278;4.81109;
9.00061;1.29008;4.79364;
9.00062;1.28752;4.77698;
9.00063;1.2851;4.76115;
9.00064;1.28283;4.74622;
9.00065;1.28072;4.73226;
9.00066;1.27878;4.71931;
9.00067;1.27702;4.70743;
9.00068;1.27544;4.69666;
9.00069;1.27406;4.68705;
9.0007;1.27287;4.67863;
9.00071;1.27187;4.67145;
9.00072;1.27109;4.66552;
9.00073;1.27051;4.66086;
9.00074;1.27014;4.65751;
9.00075;1.26998;4.65546;
9.00076;1.27003;4.65474;
9.00077;1.2703;4.65533;
9.00078;1.27077;4.65725;
9.00079;1.27145;4.66048;
9.0008;1.27234;4.665;
9.00081;1.27343;4.67081;
9.00082;1.27472;4.67788;
9.00083;1.27621;4.68618;
9.00084;1.27788;4.69567;
9.00085;1.27973;4.70633;
9.00086;1.28175;4.7181;
9.00087;1.28394;4.73095;
9.00088;1.28629;4.74481;
9.00089;1.28878;4.75965;
9.0009;1.29141;4.77539;
9.00091;1.29417;4.79198;
9.00092;1.29704;4.80935;
9.00093;1.30002;4.82743;
9.00094;1.3031;4.84616;
9.00095;1.30625;4.86545;
9.00096;1.30947;4.88523;
9.00097;1.31275;4.90543;
9.00098;1.31608;4.92595;
9.00099;1.31943;4.94674;
9.001;1.3228;4.96769;
9.00101;1.32617;4.98872;
9.00102;1.32953;5.00976;
9.00103;1.33287;5.03073;
9.00104;1.33617;5.05153;
9.00105;1.33943;5.07208;
9.00106;1.34262;5.09231;
9.00107;1.34574;5.11214;
9.00108;1.34876;5.13148;
9.00109;1.35169;5.15027;
9.0011;1.35451;5.16841;
9.00111;1.35721;5.18586;
9.00112;1.35978;5.20253;
9.00113;1.3622;5.21835;
9.00114;1.36447;5.23328;
9.00115;1.36658;5.24725;
9.00116;1.36852;5.26019;
9.00117;1.37028;5.27207;
9.00118;1.37186;5.28284;
9.00119;1.37324;5.29245;
9.0012;1.37444;5.30087;
9.00121;1.37543;5.30805;
9.00122;1.37622;5.31399;
9.00123;1.3768;5.31864;
9.00124;1.37717;5.32199;
9.00125;1.37733;5.32404;
9.00126;1.37727;5.32476;
9.00127;1.37701;5.32417;
9.00128;1.37653;5.32225;
9.00129;1.37585;5.31902;
9.0013;1.37496;5.3145;
9.00131;1.37387;5.30869;
9.00132;1.37258;5.30162;
9.00133;1.37109;5.29333;
9.00134;1.36942;5.28383;
9.00135;1.36757;5.27318;
9.00136;1.36555;5.2614;
9.00137;1.36336;5.24856;
9.00138;1.36101;5.23469;
9.00139;1.35851;5.21985;
9.0014;1.35588;5.20411;
9.00141;1.35312;5.18752;
9.00142;1.35025;5.17015;
9.00143;1.34727;5.15207;
9.00144;1.34419;5.13334;
9.00145;1.34104;5.11405;
9.00146;1.33781;5.09427;
9.00147;1.33453;5.07407;
9.00148;1.33121;5.05355;
9.00149;1.32786;5.03277;
9.0015;1.32449;5.01182;
9.00151;1.32112;4.99078;
9.00152;1.31775;4.96974;
9.00153;1.31441;4.94878;
9.00154;1.31111;4.92797;
9.00155;1.30786;4.90742;
9.00156;1.30467;4.88719;
9.00157;1.30155;4.86736;
9.00158;1.29852;4.84802;
9.00159;1.2956;4.82924;
9.0016;1.29278;4.81109;
9.00161;1.29008;4.79364;
9.00162;1.28752;4.77698;
9.00163;1.2851;4.76115;
9.00164;1.28283;4.74622;
9.00165;1.28072;4.73226;
9.00166;1.27878;4.71931;
9.00167;1.27702;4.70743;
9.00168;1.27544;4.69666;
9.00169;1.27406;4.68705;
9.0017;1.27286;4.67863;
9.00171;1.27187;4.67145;
9.00172;1.27109;4.66552;
9.00173;1.27051;4.66086;
9.00174;1.27014;4.65751;
9.00175;1.26998;4.65546;
9.00176;1.27003;4.65474;
9.00177;1.27029;4.65533;
9.00178;1.27077;4.65725;
9.00179;1.27145;4.66048;
9.0018;1.27234;4.665;
9.00181;1.27343;4.67081;
9.00182;1.27472;4.67788;
9.00183;1.2762;4.68618;
9.00184;1.27787;4.69567;
9.00185;1.27972;4.70633;
9.00186;1.28175;4.7181;
9.00187;1.28394;4.73095;
9.00188;1.28628;4.74481;
9.00189;1.28878;4.75965;
9.0019;1.29141;4.77539;
9.00191;1.29417;4.79198;
9.00192;1.29704;4.80935;
9.00193;1.30002;4.82743;
9.00194;1.30309;4.84616;
9.00195;1.30625;4.86545;
9.00196;1.30947;4.88523;
9.00197;1.31275;4.90543;
9.00198;1.31607;4.92595;
9.00199;1.31943;4.94674;
9.002;1.32279;4.96769;
9.00201;1.32617;4.98872;
9.00202;1.32953;5.00976;
9.00203;1.33287;5.03073;
9.00204;1.33617;5.05153;
9.00205;1.33943;5.07208;
9.00206;1.34262;5.09231;
9.00207;1.34573;5.11214;
9.00208;1.34876;5.13148;
9.00209;1.35169;5.15027;
9.0021;1.35451;5.16841;
9.00211;1.35721;5.18586;
9.00212;1.35977;5.20253;
9.00213;1.3622;5.21835;
9.00214;1.36447;5.23328;
9.00215;1.36658;5.24725;
9.00216;1.36851;5.26019;
9.00217;1.37028;5.27207;
9.00218;1.37186;5.28284;
9.00219;1.37324;5.29245;
9.0022;1.37444;5.30087;
9.00221;1.37543;5.30805;
9.00222;1.37621;5.31399;
9.00223;1.37679;5.31864;
9.00224;1.37716;5.32199;
9.00225;1.37732;5.32404;
9.00226;1.37727;5.32476;
9.00227;1.37701;5.32417;
9.00228;1.37653;5.32225;
9.00229;1.37585;5.31902;
9.0023;1.37496;5.3145;
9.00231;1.37387;5.30869;
9.00232;1.37258;5.30162;
9.00233;1.37109;5.29333;
9.00234;1.36942;5.28383;
9.00235;1.36757;5.27318;
9.00236;1.36554;5.2614;
9.00237;1.36335;5.24856;
9.00238;1.36101;5.23469;
9.00239;1.35851;5.21985;
9.0024;1.35588;5.20411;
9.00241;1.35312;5.18752;
9.00242;1.35025;5.17015;
9.00243;1.34726;5.15207;
9.00244;1.34419;5.13334;
9.00245;1.34103;5.11405;
9.00246;1.33781;5.09427;
9.00247;1.33453;5.07407;
9.00248;1.33121;5.05355;
9.00249;1.32786;5.03277;
9.0025;1.32449;5.01182;
9.00251;1.32111;4.99078;
9.00252;1.31775;4.96974;
9.00253;1.31441;4.94878;
9.00254;1.31111;4.92797;
9.00255;1.30786;4.90742;
9.00256;1.30467;4.88719;
9.00257;1.30155;4.86736;
9.00258;1.29852;4.84802;
9.00259;1.29559;4.82924;
9.0026;1.29278;4.81109;
9.00261;1.29008;4.79364;
9.00262;1.28752;4.77698;
9.00263;1.28509;4.76115;
9.00264;1.28283;4.74622;
9.00265;1.28072;4.73226;
9.00266;1.27878;4.71931;
9.00267;1.27702;4.70743;
9.00268;1.27544;4.69666;
9.00269;1.27405;4.68705;
9.0027;1.27286;4.67863;
9.00271;1.27187;4.67145;
9.00272;1.27108;4.66552;
9.00273;1.2705;4.66086;
9.00274;1.27013;4.65751;
9.00275;1.26998;4.65546;
9.00276;1.27003;4.65474;
9.00277;1.27029;4.65533;
9.00278;1.27077;4.65725;
9.00279;1.27145;4.66048;
9.0028;1.27234;4.665;
9.00281;1.27343;4.67081;
9.00282;1.27472;4.67788;
9.00283;1.2762;4.68618;
9.00284;1.27787;4.69567;
9.00285;1.27972;4.70633;
9.00286;1.28175;4.7181;
9.00287;1.28394;4.73095;
9.00288;1.28628;4.74481;
9.00289;1.28878;4.75965;
9.0029;1.29141;4.77539;
9.00291;1.29416;4.79198;
9.00292;1.29704;4.80935;
9.00293;1.30002;4.82743;
9.00294;1.30309;4.84616;
9.00295;1.30625;4.86545;
9.00296;1.30947;4.88523;
9.00297;1.31275;4.90543;
9.00298;1.31607;4.92595;
9.00299;1.31942;4.94674;
9.003;1.32279;4.96769;
9.00301;1.32617;4.98872;
9.00302;1.32953;5.00976;
9.00303;1.33287;5.03073;
9.00304;1.33617;5.05153;
9.00305;1.33942;5.07208;
9.00306;1.34262;5.09231;
9.00307;1.34573;5.11214;
9.00308;1.34876;5.13148;
9.00309;1.35169;5.15027;
9.0031;1.35451;5.16841;
9.00311;1.35721;5.18586;
9.00312;1.35977;5.20253;
9.00313;1.36219;5.21835;
9.00314;1.36446;5.23328;
9.00315;1.36657;5.24725;
9.00316;1.36851;5.26019;
9.00317;1.37028;5.27207;
9.00318;1.37185;5.28284;
9.00319;1.37324;5.29245;
9.0032;1.37443;5.30087;
9.00321;1.37543;5.30805;
9.00322;1.37621;5.31399;
9.00323;1.37679;5.31864;
9.00324;1.37716;5.32199;
9.00325;1.37732;5.32404;
9.00326;1.37727;5.32476;
9.00327;1.377;5.32417;
9.00328;1.37653;5.32225;
9.00329;1.37585;5.31902;
9.0033;1.37496;5.3145;
9.00331;1.37386;5.30869;
9.00332;1.37257;5.30162;
9.00333;1.37109;5.29333;
9.00334;1.36942;5.28383;
9.00335;1.36757;5.27318;
9.00336;1.36554;5.2614;
9.00337;1.36335;5.24856;
9.00338;1.36101;5.23469;
9.00339;1.35851;5.21985;
9.0034;1.35588;5.20411;
9.00341;1.35312;5.18752;
9.00342;1.35024;5.17015;
9.00343;1.34726;5.15207;
9.00344;1.34419;5.13334;
9.00345;1.34103;5.11405;
9.00346;1.33781;5.09427;
9.00347;1.33453;5.07407;
9.00348;1.33121;5.05355;
9.00349;1.32785;5.03277;
9.0035;1.32448;5.01182;
9.00351;1.32111;4.99078;
9.00352;1.31775;4.96974;
9.00353;1.31441;4.94878;
9.00354;1.31111;4.92797;
9.00355;1.30786;4.90742;
9.00356;1.30466;4.88719;
9.00357;1.30155;4.86736;
9.00358;1.29852;4.84802;
9.00359;1.29559;4.82924;
9.0036;1.29277;4.81109;
9.00361;1.29008;4.79364;
9.00362;1.28751;4.77698;
9.00363;1.28509;4.76115;
9.00364;1.28282;4.74622;
9.00365;1.28072;4.73226;
9.00366;1.27878;4.71931;
9.00367;1.27702;4.70743;
9.00368;1.27544;4.69666;
9.00369;1.27405;4.68705;
9.0037;1.27286;4.67863;
9.00371;1.27187;4.67145;
9.00372;1.27108;4.66552;
9.00373;1.2705;4.66086;
9.00374;1.27013;4.65751;
9.00375;1.26997;4.65546;
9.00376;1.27003;4.65474;
9.00377;1.27029;4.65533;
9.00378;1.27077;4.65725;
9.00379;1.27145;4.66048;
9.0038;1.27234;4.665;
9.00381;1.27343;4.67081;
9.00382;1.27472;4.67788;
9.00383;1.2762;4.68618;
9.00384;1.27787;4.69567;
9.00385;1.27972;4.70633;
9.00386;1.28175;4.7181;
9.00387;1.28393;4.73095;
9.00388;1.28628;4.74481;
9.00389;1.28877;4.75965;
9.0039;1.2914;4.77539;
9.00391;1.29416;4.79198;
9.00392;1.29704;4.80935;
9.00393;1.30002;4.82743;
9.00394;1.30309;4.84616;
9.00395;1.30625;4.86545;
9.00396;1.30947;4.88523;
9.00397;1.31275;4.90543;
9.00398;1.31607;4.92595;
