time;V(/OUT_N);V(/OUT_SINGLE);user1;
0.200007;1.25718;2.39441;-0.00673378;
0.200017;1.26107;2.43812;-0.00674444;
0.200027;1.26495;2.48196;-0.0067484;
0.200037;1.26879;2.52574;-0.00674564;
0.200047;1.27258;2.56929;-0.00673618;
0.200057;1.2763;2.61245;-0.00672004;
0.200067;1.27994;2.65504;-0.0066973;
0.200077;1.28349;2.6969;-0.00666805;
0.200087;1.28693;2.73785;-0.00663241;
0.200097;1.29025;2.77774;-0.0065905;
0.200107;1.29343;2.81641;-0.00654252;
0.200117;1.29646;2.8537;-0.00648863;
0.200127;1.29934;2.88947;-0.00642907;
0.200137;1.30204;2.92358;-0.00636407;
0.200147;1.30456;2.95589;-0.00629388;
0.200157;1.30689;2.98628;-0.00621879;
0.200167;1.30901;3.01463;-0.00613908;
0.200177;1.31093;3.04082;-0.00605509;
0.200187;1.31263;3.06475;-0.00596713;
0.200197;1.31411;3.08633;-0.00587556;
0.200207;1.31535;3.10547;-0.00578074;
0.200217;1.31636;3.1221;-0.00568304;
0.200227;1.31714;3.13615;-0.00558284;
0.200237;1.31767;3.14757;-0.00548055;
0.200247;1.31796;3.15631;-0.00537655;
0.200257;1.318;3.16234;-0.00527126;
0.200267;1.3178;3.16564;-0.00516509;
0.200277;1.31735;3.16618;-0.00505846;
0.200287;1.31666;3.16398;-0.00495178;
0.200297;1.31574;3.15903;-0.00484548;
0.200307;1.31457;3.15136;-0.00473997;
0.200317;1.31318;3.141;-0.00463566;
0.200327;1.31155;3.12798;-0.00453296;
0.200337;1.30971;3.11237;-0.00443228;
0.200347;1.30766;3.09421;-0.00433401;
0.200357;1.3054;3.07359;-0.00423854;
0.200367;1.30295;3.05058;-0.00414624;
0.200377;1.30031;3.02527;-0.00405749;
0.200387;1.29749;2.99777;-0.00397262;
0.200397;1.29452;2.96817;-0.00389198;
0.200407;1.29138;2.93661;-0.00381588;
0.200417;1.28811;2.90319;-0.00374463;
0.200427;1.28471;2.86806;-0.00367851;
0.200437;1.2812;2.83135;-0.00361779;
0.200447;1.27759;2.79321;-0.00356269;
0.200457;1.27389;2.75379;-0.00351345;
0.200467;1.27012;2.71324;-0.00347027;
0.200477;1.2663;2.67173;-0.0034333;
0.200487;1.26243;2.62941;-0.00340271;
0.200497;1.25854;2.58645;-0.00337861;
0.200507;1.25464;2.54303;-0.00336109;
0.200517;1.25074;2.49932;-0.00335024;
0.200527;1.24686;2.45549;-0.00334608;
0.200537;1.24302;2.4117;-0.00334865;
0.200547;1.23923;2.36815;-0.00335792;
0.200557;1.2355;2.32499;-0.00337386;
0.200567;1.23186;2.2824;-0.00339641;
0.200577;1.22831;2.24054;-0.00342546;
0.200587;1.22487;2.19959;-0.00346092;
0.200597;1.22156;2.1597;-0.00350263;
0.200607;1.21838;2.12104;-0.00355042;
0.200617;1.21534;2.08375;-0.00360411;
0.200627;1.21247;2.04797;-0.00366348;
0.200637;1.20977;2.01386;-0.00372829;
0.200647;1.20725;1.98155;-0.00379829;
0.200657;1.20492;1.95116;-0.00387319;
0.200667;1.2028;1.92282;-0.0039527;
0.200677;1.20088;1.89663;-0.0040365;
0.200687;1.19918;1.8727;-0.00412427;
0.200697;1.1977;1.85112;-0.00421564;
0.200707;1.19646;1.83197;-0.00431027;
0.200717;1.19544;1.81534;-0.00440778;
0.200727;1.19467;1.80129;-0.00450779;
0.200737;1.19414;1.78987;-0.00460989;
0.200747;1.19385;1.78113;-0.0047137;
0.200757;1.1938;1.7751;-0.0048188;
0.200767;1.194;1.77181;-0.00492478;
0.200777;1.19445;1.77126;-0.00503122;
0.200787;1.19513;1.77347;-0.00513771;
0.200797;1.19606;1.77842;-0.00524382;
0.200807;1.19722;1.78609;-0.00534914;
0.200817;1.19861;1.79645;-0.00545326;
0.200827;1.20023;1.80947;-0.00555577;
0.200837;1.20206;1.82509;-0.00565626;
0.200847;1.20411;1.84324;-0.00575434;
0.200857;1.20637;1.86387;-0.00584962;
0.200867;1.20882;1.88688;-0.00594172;
0.200877;1.21145;1.91219;-0.00603029;
0.200887;1.21426;1.93969;-0.00611496;
0.200897;1.21724;1.96929;-0.00619541;
0.200907;1.22037;2.00085;-0.00627131;
0.200917;1.22363;2.03427;-0.00634237;
0.200927;1.22703;2.0694;-0.0064083;
0.200937;1.23054;2.10611;-0.00646883;
0.200947;1.23415;2.14425;-0.00652373;
0.200957;1.23784;2.18367;-0.00657277;
0.200967;1.24161;2.22422;-0.00661577;
0.200977;1.24543;2.26574;-0.00665254;
0.200987;1.24929;2.30806;-0.00668294;
0.200997;1.25318;2.35101;-0.00670685;
0.201007;1.25708;2.39443;-0.00672417;
0.201017;1.26098;2.43815;-0.00673483;
0.201027;1.26486;2.48198;-0.00673879;
0.201037;1.2687;2.52576;-0.00673603;
0.201047;1.27249;2.56932;-0.00672657;
0.201057;1.27621;2.61248;-0.00671043;
0.201067;1.27985;2.65507;-0.00668769;
0.201077;1.2834;2.69692;-0.00665844;
0.201087;1.28684;2.73788;-0.00662279;
0.201097;1.29016;2.77776;-0.00658089;
0.201107;1.29334;2.81643;-0.00653291;
0.201117;1.29637;2.85372;-0.00647902;
0.201127;1.29925;2.8895;-0.00641946;
0.201137;1.30195;2.92361;-0.00635446;
0.201147;1.30447;2.95592;-0.00628427;
0.201157;1.30679;2.98631;-0.00620917;
0.201167;1.30892;3.01465;-0.00612947;
0.201177;1.31084;3.04084;-0.00604548;
0.201187;1.31254;3.06477;-0.00595752;
0.201197;1.31401;3.08635;-0.00586595;
0.201207;1.31526;3.1055;-0.00577113;
0.201217;1.31627;3.12213;-0.00567343;
0.201227;1.31704;3.13618;-0.00557323;
0.201237;1.31758;3.1476;-0.00547094;
0.201247;1.31786;3.15634;-0.00536694;
0.201257;1.31791;3.16237;-0.00526165;
0.201267;1.31771;3.16566;-0.00515548;
0.201277;1.31726;3.16621;-0.00504885;
0.201287;1.31657;3.164;-0.00494217;
0.201297;1.31564;3.15906;-0.00483587;
0.201307;1.31448;3.15139;-0.00473036;
0.201317;1.31308;3.14102;-0.00462605;
0.201327;1.31146;3.12801;-0.00452335;
0.201337;1.30962;3.11239;-0.00442267;
0.201347;1.30757;3.09424;-0.0043244;
0.201357;1.30531;3.07361;-0.00422893;
0.201367;1.30286;3.0506;-0.00413663;
0.201377;1.30022;3.0253;-0.00404788;
0.201387;1.2974;2.99779;-0.00396301;
0.201397;1.29442;2.9682;-0.00388237;
0.201407;1.29129;2.93663;-0.00380627;
0.201417;1.28802;2.90322;-0.00373502;
0.201427;1.28462;2.86809;-0.0036689;
0.201437;1.28111;2.83138;-0.00360818;
0.201447;1.2775;2.79324;-0.00355308;
0.201457;1.2738;2.75382;-0.00350385;
0.201467;1.27003;2.71327;-0.00346066;
0.201477;1.2662;2.67175;-0.00342369;
0.201487;1.26234;2.62943;-0.0033931;
0.201497;1.25845;2.58648;-0.003369;
0.201507;1.25454;2.54306;-0.00335149;
0.201517;1.25064;2.49935;-0.00334063;
0.201527;1.24677;2.45551;-0.00333648;
0.201537;1.24293;2.41173;-0.00333904;
0.201547;1.23914;2.36817;-0.00334831;
0.201557;1.23541;2.32501;-0.00336425;
0.201567;1.23177;2.28242;-0.0033868;
0.201577;1.22822;2.24057;-0.00341586;
