time;V(/OUT_N);V(/OUT_P);V(/OUT_SINGLE);V(/SE_IN+);
9.00001;2.09805;2.09721;7.48029;7.4933;
9.00002;2.10162;2.10078;7.50261;7.49687;
9.00003;2.10517;2.10434;7.52488;7.50043;
9.00004;2.10869;2.10786;7.54701;7.50394;
9.00005;2.11216;2.11134;7.56891;7.50741;
9.00006;2.11557;2.11476;7.5905;7.51082;
9.00007;2.1189;2.11811;7.61169;7.51416;
9.00008;2.12215;2.12138;7.6324;7.51741;
9.00009;2.1253;2.12455;7.65255;7.52055;
9.0001;2.12833;2.1276;7.67205;7.52359;
9.00011;2.13124;2.13054;7.69083;7.5265;
9.00012;2.13401;2.13334;7.70882;7.52927;
9.00013;2.13664;2.136;7.72595;7.53189;
9.00014;2.13911;2.1385;7.74214;7.53436;
9.00015;2.14141;2.14084;7.75733;7.53666;
9.00016;2.14353;2.14301;7.77147;7.53879;
9.00017;2.14547;2.14499;7.78449;7.54072;
9.00018;2.14722;2.14678;7.79636;7.54247;
9.00019;2.14876;2.14837;7.80701;7.54402;
9.0002;2.15011;2.14976;7.8164;7.54536;
9.00021;2.15124;2.15094;7.82451;7.54649;
9.00022;2.15215;2.1519;7.8313;7.5474;
9.00023;2.15285;2.15265;7.83674;7.5481;
9.00024;2.15332;2.15318;7.84081;7.54857;
9.00025;2.15358;2.15348;7.84349;7.54883;
9.00026;2.1536;2.15356;7.84478;7.54885;
9.00027;2.1534;2.15341;7.84466;7.54865;
9.00028;2.15298;2.15304;7.84315;7.54823;
9.00029;2.15234;2.15245;7.84024;7.54759;
9.0003;2.15148;2.15164;7.83594;7.54672;
9.00031;2.1504;2.15061;7.83028;7.54564;
9.00032;2.14911;2.14937;7.82328;7.54435;
9.00033;2.14761;2.14792;7.81495;7.54285;
9.00034;2.14591;2.14627;7.80535;7.54115;
9.00035;2.14401;2.14442;7.7945;7.53926;
9.00036;2.14193;2.14239;7.78244;7.53718;
9.00037;2.13968;2.14017;7.76923;7.53492;
9.00038;2.13725;2.13778;7.75492;7.53249;
9.00039;2.13466;2.13524;7.73955;7.5299;
9.0004;2.13192;2.13253;7.72321;7.52716;
9.00041;2.12904;2.12969;7.70594;7.52429;
9.00042;2.12604;2.12672;7.68781;7.52128;
9.00043;2.12292;2.12362;7.66891;7.51816;
9.00044;2.11969;2.12043;7.64929;7.51493;
9.00045;2.11638;2.11713;7.62905;7.51162;
9.00046;2.11298;2.11376;7.60826;7.50823;
9.00047;2.10953;2.11032;7.58699;7.50477;
9.00048;2.10602;2.10683;7.56535;7.50126;
9.00049;2.10247;2.10329;7.5434;7.49772;
9.0005;2.0989;2.09973;7.52124;7.49415;
9.00051;2.09533;2.09616;7.49896;7.49057;
9.00052;2.09176;2.09259;7.47664;7.487;
9.00053;2.08821;2.08904;7.45437;7.48345;
9.00054;2.08469;2.08551;7.43224;7.47993;
9.00055;2.08122;2.08204;7.41034;7.47646;
9.00056;2.07781;2.07861;7.38875;7.47305;
9.00057;2.07447;2.07526;7.36756;7.46972;
9.00058;2.07123;2.072;7.34685;7.46647;
9.00059;2.06808;2.06883;7.3267;7.46332;
9.0006;2.06505;2.06577;7.3072;7.46029;
9.00061;2.06214;2.06284;7.28842;7.45738;
9.00062;2.05936;2.06003;7.27043;7.45461;
9.00063;2.05674;2.05738;7.2533;7.45199;
9.00064;2.05427;2.05487;7.23711;7.44952;
9.00065;2.05197;2.05254;7.22192;7.44722;
