time;V(/OUT_N);V(/OUT_P);V(/OUT_SINGLE);V(/Vmid);
9.00001;6.75106;6.74649;7.36174;7.5;
9.00002;6.76156;6.75697;7.48009;7.5;
9.00003;6.77198;6.76739;7.59849;7.5;
9.00004;6.78228;6.77771;7.71645;7.5;
9.00005;6.79241;6.78788;7.83352;7.5;
9.00006;6.80234;6.79786;7.94923;7.5;
9.00007;6.81203;6.80763;8.06313;7.5;
9.00008;6.82144;6.81712;8.17475;7.5;
9.00009;6.83053;6.82632;8.28368;7.5;
9.0001;6.83927;6.83519;8.38946;7.5;
9.00011;6.84763;6.84368;8.49169;7.5;
9.00012;6.85556;6.85177;8.58996;7.5;
9.00013;6.86304;6.85942;8.68389;7.5;
9.00014;6.87004;6.8666;8.7731;7.5;
9.00015;6.87653;6.87329;8.85724;7.5;
9.00016;6.88249;6.87946;8.93599;7.5;
9.00017;6.88789;6.88508;9.00902;7.5;
9.00018;6.89271;6.89013;9.07606;7.5;
9.00019;6.89693;6.8946;9.13683;7.5;
9.0002;6.90054;6.89846;9.19111;7.5;
9.00021;6.90352;6.9017;9.23867;7.5;
9.00022;6.90586;6.90431;9.27933;7.5;
9.00023;6.90755;6.90627;9.31293;7.5;
9.00024;6.90858;6.90758;9.33933;7.5;
9.00025;6.90895;6.90824;9.35844;7.5;
9.00026;6.90866;6.90823;9.37018;7.5;
9.00027;6.90771;6.90757;9.37449;7.5;
9.00028;6.9061;6.90625;9.37138;7.5;
9.00029;6.90385;6.90428;9.36084;7.5;
9.0003;6.90095;6.90167;9.34291;7.5;
9.00031;6.89742;6.89842;9.31768;7.5;
9.00032;6.89327;6.89456;9.28523;7.5;
9.00033;6.88853;6.89008;9.2457;7.5;
9.00034;6.8832;6.88502;9.19924;7.5;
9.00035;6.87731;6.8794;9.14604;7.5;
9.00036;6.87088;6.87322;9.08629;7.5;
9.00037;6.86395;6.86653;9.02025;7.5;
9.00038;6.85653;6.85934;8.94816;7.5;
9.00039;6.84865;6.85168;8.87032;7.5;
9.0004;6.84035;6.84359;8.78702;7.5;
9.00041;6.83165;6.8351;8.69861;7.5;
9.00042;6.8226;6.82623;8.60541;7.5;
9.00043;6.81323;6.81703;8.50782;7.5;
9.00044;6.80357;6.80752;8.4062;7.5;
9.00045;6.79367;6.79776;8.30096;7.5;
9.00046;6.78356;6.78777;8.19251;7.5;
9.00047;6.77328;6.7776;8.08129;7.5;
9.00048;6.76288;6.76728;7.96773;7.5;
9.00049;6.75238;6.75686;7.85228;7.5;
9.0005;6.74185;6.74638;7.7354;7.5;
9.00051;6.73131;6.73588;7.61755;7.5;
9.00052;6.72081;6.7254;7.49919;7.5;
9.00053;6.7104;6.71498;7.38079;7.5;
9.00054;6.7001;6.70467;7.26283;7.5;
9.00055;6.68997;6.6945;7.14576;7.5;
9.00056;6.68003;6.68451;7.03005;7.5;
9.00057;6.67034;6.67475;6.91615;7.5;
9.00058;6.66093;6.66525;6.80453;7.5;
9.00059;6.65184;6.65605;6.69561;7.5;
9.0006;6.6431;6.64719;6.58982;7.5;
9.00061;6.63475;6.6387;6.48759;7.5;
9.00062;6.62682;6.63061;6.38932;7.5;
9.00063;6.61934;6.62296;6.29539;7.5;
9.00064;6.61234;6.61578;6.20618;7.5;
9.00065;6.60585;6.60909;6.12204;7.5;
9.00066;6.59989;6.60292;6.0433;7.5;
9.00067;6.59449;6.5973;5.97026;7.5;
9.00068;6.58967;6.59225;5.90322;7.5;
9.00069;6.58545;6.58778;5.84245;7.5;
9.0007;6.58184;6.58392;5.78817;7.5;
9.00071;6.57886;6.58068;5.74061;7.5;
9.00072;6.57652;6.57807;5.69995;7.5;
9.00073;6.57483;6.57611;5.66635;7.5;
9.00074;6.5738;6.5748;5.63995;7.5;
9.00075;6.57343;6.57414;5.62084;7.5;
9.00076;6.57372;6.57415;5.6091;7.5;
9.00077;6.57467;6.57481;5.60479;7.5;
9.00078;6.57628;6.57613;5.6079;7.5;
9.00079;6.57853;6.5781;5.61845;7.5;
9.0008;6.58143;6.58071;5.63637;7.5;
9.00081;6.58496;6.58396;5.6616;7.5;
9.00082;6.58911;6.58782;5.69405;7.5;
9.00083;6.59385;6.5923;5.73358;7.5;
9.00084;6.59918;6.59735;5.78004;7.5;
9.00085;6.60507;6.60298;5.83324;7.5;
9.00086;6.61149;6.60915;5.89299;7.5;
9.00087;6.61843;6.61585;5.95903;7.5;
9.00088;6.62585;6.62304;6.03112;7.5;
9.00089;6.63373;6.63069;6.10896;7.5;
9.0009;6.64203;6.63878;6.19226;7.5;
9.00091;6.65072;6.64728;6.28068;7.5;
9.00092;6.65977;6.65614;6.37387;7.5;
9.00093;6.66914;6.66535;6.47147;7.5;
9.00094;6.6788;6.67485;6.57309;7.5;
9.00095;6.6887;6.68461;6.67833;7.5;
9.00096;6.69882;6.6946;6.78677;7.5;
9.00097;6.70909;6.70477;6.89799;7.5;
9.00098;6.7195;6.71509;7.01155;7.5;
9.00099;6.72999;6.72551;7.127;7.5;
9.001;6.74052;6.73599;7.24388;7.5;
9.00101;6.75106;6.74649;7.36174;7.5;
9.00102;6.76156;6.75697;7.48009;7.5;
9.00103;6.77198;6.76739;7.59849;7.5;
9.00104;6.78227;6.77771;7.71645;7.5;
9.00105;6.79241;6.78788;7.83352;7.5;
9.00106;6.80234;6.79786;7.94923;7.5;
9.00107;6.81203;6.80762;8.06313;7.5;
9.00108;6.82144;6.81712;8.17475;7.5;
9.00109;6.83053;6.82632;8.28368;7.5;
9.0011;6.83927;6.83519;8.38946;7.5;
9.00111;6.84763;6.84368;8.49169;7.5;
9.00112;6.85556;6.85177;8.58996;7.5;
9.00113;6.86304;6.85942;8.68389;7.5;
9.00114;6.87004;6.8666;8.7731;7.5;
9.00115;6.87653;6.87329;8.85724;7.5;
9.00116;6.88249;6.87946;8.93599;7.5;
9.00117;6.88789;6.88508;9.00902;7.5;
9.00118;6.89271;6.89013;9.07606;7.5;
9.00119;6.89693;6.8946;9.13683;7.5;
9.0012;6.90054;6.89846;9.19111;7.5;
9.00121;6.90352;6.9017;9.23867;7.5;
9.00122;6.90585;6.9043;9.27933;7.5;
9.00123;6.90754;6.90627;9.31293;7.5;
9.00124;6.90858;6.90758;9.33933;7.5;
9.00125;6.90895;6.90823;9.35844;7.5;
9.00126;6.90866;6.90823;9.37018;7.5;
9.00127;6.90771;6.90757;9.37449;7.5;
9.00128;6.9061;6.90625;9.37138;7.5;
9.00129;6.90385;6.90428;9.36084;7.5;
9.0013;6.90095;6.90167;9.34291;7.5;
9.00131;6.89742;6.89842;9.31768;7.5;
9.00132;6.89327;6.89455;9.28523;7.5;
9.00133;6.88852;6.89008;9.2457;7.5;
9.00134;6.8832;6.88502;9.19924;7.5;
9.00135;6.87731;6.87939;9.14604;7.5;
9.00136;6.87088;6.87322;9.08629;7.5;
9.00137;6.86395;6.86653;9.02025;7.5;
9.00138;6.85652;6.85934;8.94816;7.5;
9.00139;6.84865;6.85168;8.87032;7.5;
9.0014;6.84034;6.84359;8.78702;7.5;
9.00141;6.83165;6.8351;8.69861;7.5;
9.00142;6.8226;6.82623;8.60541;7.5;
9.00143;6.81323;6.81703;8.50782;7.5;
9.00144;6.80357;6.80752;8.4062;7.5;
9.00145;6.79367;6.79776;8.30096;7.5;
9.00146;6.78356;6.78777;8.19251;7.5;
9.00147;6.77328;6.7776;8.08129;7.5;
9.00148;6.76287;6.76728;7.96773;7.5;
9.00149;6.75238;6.75686;7.85228;7.5;
9.0015;6.74185;6.74638;7.7354;7.5;
9.00151;6.73131;6.73588;7.61755;7.5;
9.00152;6.72081;6.7254;7.49919;7.5;
9.00153;6.71039;6.71498;7.38079;7.5;
9.00154;6.7001;6.70467;7.26283;7.5;
9.00155;6.68996;6.6945;7.14576;7.5;
9.00156;6.68003;6.68451;7.03005;7.5;
9.00157;6.67034;6.67475;6.91615;7.5;
9.00158;6.66093;6.66525;6.80453;7.5;
9.00159;6.65184;6.65605;6.69561;7.5;
9.0016;6.6431;6.64719;6.58982;7.5;
9.00161;6.63475;6.6387;6.48759;7.5;
9.00162;6.62682;6.63061;6.38932;7.5;
9.00163;6.61933;6.62296;6.29539;7.5;
9.00164;6.61234;6.61577;6.20618;7.5;
9.00165;6.60584;6.60909;6.12204;7.5;
9.00166;6.59989;6.60292;6.0433;7.5;
9.00167;6.59449;6.5973;5.97026;7.5;
9.00168;6.58967;6.59224;5.90322;7.5;
9.00169;6.58545;6.58778;5.84245;7.5;
9.0017;6.58184;6.58392;5.78817;7.5;
9.00171;6.57886;6.58068;5.74061;7.5;
9.00172;6.57652;6.57807;5.69995;7.5;
9.00173;6.57483;6.57611;5.66635;7.5;
9.00174;6.5738;6.5748;5.63995;7.5;
9.00175;6.57343;6.57414;5.62084;7.5;
9.00176;6.57372;6.57415;5.6091;7.5;
9.00177;6.57467;6.57481;5.60479;7.5;
9.00178;6.57627;6.57613;5.6079;7.5;
9.00179;6.57853;6.5781;5.61845;7.5;
9.0018;6.58143;6.58071;5.63637;7.5;
9.00181;6.58496;6.58396;5.6616;7.5;
9.00182;6.5891;6.58782;5.69405;7.5;
9.00183;6.59385;6.59229;5.73358;7.5;
9.00184;6.59918;6.59735;5.78004;7.5;
9.00185;6.60507;6.60298;5.83324;7.5;
9.00186;6.61149;6.60915;5.89299;7.5;
9.00187;6.61843;6.61585;5.95903;7.5;
9.00188;6.62585;6.62303;6.03112;7.5;
9.00189;6.63373;6.63069;6.10896;7.5;
9.0019;6.64203;6.63878;6.19226;7.5;
9.00191;6.65072;6.64728;6.28068;7.5;
9.00192;6.65977;6.65614;6.37387;7.5;
9.00193;6.66914;6.66535;6.47147;7.5;
9.00194;6.6788;6.67485;6.57309;7.5;
9.00195;6.6887;6.68461;6.67833;7.5;
9.00196;6.69881;6.6946;6.78677;7.5;
9.00197;6.70909;6.70477;6.89799;7.5;
9.00198;6.7195;6.71509;7.01155;7.5;
9.00199;6.72999;6.72551;7.127;7.5;
9.002;6.74052;6.73599;7.24388;7.5;
9.00201;6.75106;6.74649;7.36174;7.5;
9.00202;6.76156;6.75697;7.48009;7.5;
9.00203;6.77198;6.76739;7.59849;7.5;
9.00204;6.78227;6.7777;7.71645;7.5;
9.00205;6.79241;6.78787;7.83352;7.5;
9.00206;6.80234;6.79786;7.94923;7.5;
9.00207;6.81203;6.80762;8.06313;7.5;
9.00208;6.82144;6.81712;8.17475;7.5;
9.00209;6.83053;6.82632;8.28368;7.5;
9.0021;6.83927;6.83518;8.38946;7.5;
9.00211;6.84762;6.84368;8.49169;7.5;
9.00212;6.85556;6.85176;8.58996;7.5;
9.00213;6.86304;6.85941;8.68389;7.5;
9.00214;6.87004;6.8666;8.7731;7.5;
9.00215;6.87653;6.87329;8.85724;7.5;
9.00216;6.88249;6.87945;8.93599;7.5;
9.00217;6.88788;6.88508;9.00902;7.5;
9.00218;6.8927;6.89013;9.07606;7.5;
9.00219;6.89693;6.8946;9.13683;7.5;
9.0022;6.90053;6.89846;9.19111;7.5;
9.00221;6.90351;6.9017;9.23867;7.5;
9.00222;6.90585;6.9043;9.27933;7.5;
9.00223;6.90754;6.90627;9.31293;7.5;
9.00224;6.90857;6.90758;9.33933;7.5;
9.00225;6.90895;6.90823;9.35844;7.5;
9.00226;6.90866;6.90823;9.37018;7.5;
9.00227;6.90771;6.90757;9.37449;7.5;
9.00228;6.9061;6.90625;9.37138;7.5;
9.00229;6.90384;6.90428;9.36084;7.5;
9.0023;6.90094;6.90167;9.34291;7.5;
9.00231;6.89741;6.89842;9.31768;7.5;
9.00232;6.89327;6.89455;9.28523;7.5;
9.00233;6.88852;6.89008;9.2457;7.5;
9.00234;6.8832;6.88502;9.19924;7.5;
9.00235;6.87731;6.87939;9.14604;7.5;
9.00236;6.87088;6.87322;9.08629;7.5;
9.00237;6.86394;6.86653;9.02025;7.5;
9.00238;6.85652;6.85934;8.94816;7.5;
