time;V(/OUT_N);V(/OUT_SINGLE);
9;1.01425;2.4753;
9.00001;1.01747;2.4954;
9.00002;1.02068;2.51548;
9.00003;1.02386;2.53547;
9.00004;1.027;2.55527;
9.00005;1.03009;2.57481;
9.00006;1.03311;2.59402;
9.00007;1.03607;2.61281;
9.00008;1.03893;2.63112;
9.00009;1.0417;2.64887;
9.0001;1.04435;2.66599;
9.00011;1.04689;2.68242;
9.00012;1.0493;2.69808;
9.00013;1.05156;2.71293;
9.00014;1.05368;2.72689;
9.00015;1.05565;2.73991;
9.00016;1.05744;2.75195;
9.00017;1.05907;2.76296;
9.00018;1.06052;2.77288;
9.00019;1.06179;2.78169;
9.0002;1.06286;2.78935;
9.00021;1.06375;2.79583;
9.00022;1.06444;2.8011;
9.00023;1.06493;2.80514;
9.00024;1.06522;2.80794;
9.00025;1.0653;2.80949;
9.00026;1.06519;2.80977;
9.00027;1.06487;2.80879;
9.00028;1.06435;2.80656;
9.00029;1.06364;2.80307;
9.0003;1.06272;2.79835;
9.00031;1.06162;2.79242;
9.00032;1.06033;2.78529;
9.00033;1.05885;2.77699;
9.00034;1.0572;2.76756;
9.00035;1.05538;2.75704;
9.00036;1.05339;2.74546;
9.00037;1.05125;2.73287;
9.00038;1.04896;2.71932;
9.00039;1.04654;2.70487;
9.0004;1.04398;2.68957;
9.00041;1.04131;2.67348;
9.00042;1.03853;2.65666;
9.00043;1.03565;2.63918;
9.00044;1.03269;2.62112;
9.00045;1.02965;2.60253;
9.00046;1.02656;2.5835;
9.00047;1.02341;2.5641;
9.00048;1.02023;2.54441;
9.00049;1.01702;2.5245;
9.0005;1.0138;2.50445;
9.00051;1.01058;2.48435;
9.00052;1.00737;2.46427;
9.00053;1.00419;2.44429;
9.00054;1.00105;2.42448;
9.00055;0.997962;2.40494;
9.00056;0.994936;2.38574;
9.00057;0.991987;2.36694;
9.00058;0.989124;2.34863;
9.00059;0.98636;2.33088;
9.0006;0.983705;2.31376;
9.00061;0.98117;2.29733;
9.00062;0.978765;2.28167;
9.00063;0.976499;2.26683;
9.00064;0.974382;2.25286;
9.00065;0.972421;2.23984;
9.00066;0.970624;2.2278;
9.00067;0.968998;2.21679;
9.00068;0.96755;2.20687;
9.00069;0.966286;2.19806;
9.0007;0.965209;2.1904;
9.00071;0.964326;2.18392;
9.00072;0.963638;2.17865;
9.00073;0.963149;2.17461;
9.00074;0.96286;2.17181;
9.00075;0.962774;2.17027;
9.00076;0.962889;2.16998;
9.00077;0.963206;2.17096;
9.00078;0.963723;2.17319;
9.00079;0.964439;2.17668;
9.0008;0.96535;2.1814;
9.00081;0.966453;2.18733;
9.00082;0.967743;2.19446;
9.00083;0.969217;2.20276;
9.00084;0.970867;2.21219;
9.00085;0.972687;2.22271;
9.00086;0.974671;2.23429;
9.00087;0.97681;2.24688;
9.00088;0.979096;2.26043;
9.00089;0.98152;2.27488;
9.0009;0.984072;2.29018;
9.00091;0.986743;2.30627;
9.00092;0.989522;2.32309;
9.00093;0.992398;2.34057;
9.00094;0.995359;2.35863;
9.00095;0.998394;2.37722;
9.00096;1.00149;2.39625;
9.00097;1.00464;2.41565;
9.00098;1.00782;2.43534;
9.00099;1.01103;2.45525;
9.001;1.01425;2.4753;
9.00101;1.01747;2.4954;
9.00102;1.02068;2.51548;
9.00103;1.02386;2.53547;
9.00104;1.027;2.55527;
9.00105;1.03009;2.57481;
9.00106;1.03311;2.59402;
9.00107;1.03606;2.61281;
9.00108;1.03893;2.63112;
9.00109;1.04169;2.64887;
9.0011;1.04435;2.66599;
9.00111;1.04689;2.68242;
9.00112;1.0493;2.69808;
9.00113;1.05156;2.71293;
9.00114;1.05368;2.72689;
9.00115;1.05565;2.73991;
9.00116;1.05744;2.75195;
9.00117;1.05907;2.76296;
9.00118;1.06052;2.77288;
9.00119;1.06179;2.78169;
9.0012;1.06286;2.78935;
9.00121;1.06375;2.79583;
9.00122;1.06444;2.8011;
9.00123;1.06493;2.80514;
9.00124;1.06522;2.80794;
9.00125;1.0653;2.80949;
9.00126;1.06519;2.80977;
9.00127;1.06487;2.80879;
9.00128;1.06435;2.80656;
9.00129;1.06364;2.80307;
9.0013;1.06272;2.79835;
9.00131;1.06162;2.79242;
9.00132;1.06033;2.78529;
9.00133;1.05885;2.77699;
9.00134;1.0572;2.76756;
9.00135;1.05538;2.75704;
9.00136;1.05339;2.74546;
9.00137;1.05125;2.73287;
9.00138;1.04896;2.71932;
9.00139;1.04654;2.70487;
9.0014;1.04398;2.68957;
9.00141;1.04131;2.67348;
9.00142;1.03853;2.65666;
9.00143;1.03565;2.63918;
9.00144;1.03269;2.62112;
9.00145;1.02965;2.60253;
9.00146;1.02656;2.5835;
9.00147;1.02341;2.5641;
9.00148;1.02022;2.54441;
9.00149;1.01702;2.5245;
9.0015;1.0138;2.50445;
9.00151;1.01058;2.48435;
9.00152;1.00737;2.46427;
9.00153;1.00419;2.44429;
